dataset,delta,window_size,min_samples,false_alarms,detection_delay,total_retrains,retrains_pre_drift,retrains_post_drift,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,retrain_times
Fraud Detection,0.05,300,50,10,25000,10,10,0,0.94758,0.94492,0.95024,0.00532,"[1082, 1093, 1104, 1534, 1547, 1707, 1977, 3913, 5626, 5637]"
Fraud Detection,0.05,300,100,10,25000,10,10,0,0.94798,0.94564,0.95032,0.00468,"[1082, 1093, 1104, 1534, 1547, 1707, 1977, 3913, 5626, 5637]"
Fraud Detection,0.05,300,200,10,25000,10,10,0,0.94842,0.9458,0.95104,0.00524,"[1082, 1093, 1104, 1534, 1547, 1707, 1977, 3883, 3911, 5624]"
Fraud Detection,0.05,500,50,10,25000,10,10,0,0.94784,0.94536,0.95032,0.00496,"[1561, 3908, 3919, 4353, 5633, 5644, 5655, 5666, 5677, 5688]"
Fraud Detection,0.05,500,100,10,25000,10,10,0,0.94784,0.94532,0.95036,0.00504,"[1561, 3913, 5633, 5644, 5655, 5666, 5677, 5688, 5699, 5710]"
Fraud Detection,0.05,500,200,10,25000,10,10,0,0.94798,0.94572,0.95024,0.00452,"[1561, 5635, 5646, 5657, 5668, 5679, 5690, 5701, 5712, 5723]"
Fraud Detection,0.05,1000,50,10,25000,10,10,0,0.94778,0.945,0.95056,0.00556,"[1275, 1286, 1297, 3966, 5694, 5705, 5716, 5750, 5761, 5772]"
Fraud Detection,0.05,1000,100,10,25000,10,10,0,0.94814,0.94576,0.95052,0.00476,"[1275, 1286, 1297, 3967, 5661, 5672, 5683, 5694, 5705, 5716]"
Fraud Detection,0.05,1000,200,10,25000,10,10,0,0.94788,0.9452,0.95056,0.00536,"[1275, 1286, 1297, 3935, 3946, 3957, 3968, 3979, 3990, 5660]"
Fraud Detection,0.01,300,50,10,25000,10,10,0,0.94808,0.94572,0.95044,0.00472,"[1098, 5628, 5639, 5650, 5661, 5672, 5683, 5694, 5705, 5716]"
Fraud Detection,0.01,300,100,10,25000,10,10,0,0.94832,0.94612,0.95052,0.0044,"[1098, 3913, 5628, 5639, 5650, 5661, 5672, 5683, 5694, 5705]"
Fraud Detection,0.01,300,200,10,25000,10,10,0,0.94796,0.9456,0.95032,0.00472,"[1098, 3884, 3913, 5627, 5638, 5649, 5660, 5671, 5682, 5693]"
Fraud Detection,0.01,500,50,10,25000,10,10,0,0.94804,0.94532,0.95076,0.00544,"[3912, 5635, 5646, 5657, 5668, 5679, 5690, 5701, 5712, 5738]"
Fraud Detection,0.01,500,100,10,25000,10,10,0,0.9479,0.9452,0.9506,0.0054,"[3912, 5647, 5658, 5669, 5680, 5694, 5756, 5767, 5778, 5789]"
Fraud Detection,0.01,500,200,10,25000,10,10,0,0.94806,0.94568,0.95044,0.00476,"[3912, 5635, 5646, 5657, 5668, 5679, 5690, 5701, 5712, 5723]"
Fraud Detection,0.01,1000,50,4,2262,10,4,6,0.94746,0.94516,0.94976,0.0046,"[3966, 5767, 5800, 6601, 27262, 27294, 31697, 31708, 31719, 31730]"
Fraud Detection,0.01,1000,100,10,25000,10,10,0,0.94776,0.94512,0.9504,0.00528,"[3966, 5664, 5675, 5686, 5697, 5708, 5719, 5738, 5749, 5760]"
Fraud Detection,0.01,1000,200,10,25000,10,10,0,0.94786,0.94496,0.95076,0.0058,"[3966, 5664, 5675, 5686, 5697, 5708, 5719, 5738, 5749, 5760]"
Fraud Detection,0.005,300,50,10,25000,10,10,0,0.94778,0.94488,0.95068,0.0058,"[3914, 5628, 5639, 5650, 5661, 5672, 5683, 5694, 5705, 5761]"
Fraud Detection,0.005,300,100,10,25000,10,10,0,0.94724,0.94444,0.95004,0.0056,"[3914, 5766, 6029, 6040, 8716, 8727, 8986, 8997, 9524, 9535]"
Fraud Detection,0.005,300,200,10,25000,10,10,0,0.94824,0.94596,0.95052,0.00456,"[3914, 5628, 5639, 5650, 5661, 5672, 5683, 5694, 5705, 5716]"
Fraud Detection,0.005,500,50,10,25000,10,10,0,0.9477,0.94456,0.95084,0.00628,"[3913, 5635, 5646, 5657, 5668, 5679, 5690, 5701, 5712, 5748]"
Fraud Detection,0.005,500,100,10,25000,10,10,0,0.94784,0.94532,0.95036,0.00504,"[3913, 4355, 5635, 5646, 5657, 5668, 5679, 5690, 5701, 5712]"
Fraud Detection,0.005,500,200,10,25000,10,10,0,0.94802,0.9456,0.95044,0.00484,"[3913, 5636, 5647, 5658, 5669, 5680, 5691, 5702, 5713, 5748]"
Fraud Detection,0.005,1000,50,10,25000,10,10,0,0.94784,0.94508,0.9506,0.00552,"[5664, 5675, 5686, 5697, 5708, 5719, 5750, 5761, 5772, 5783]"
Fraud Detection,0.005,1000,100,10,25000,10,10,0,0.94782,0.94504,0.9506,0.00556,"[5664, 5675, 5686, 5697, 5708, 5719, 5750, 5761, 5772, 5783]"
Fraud Detection,0.005,1000,200,10,25000,10,10,0,0.948,0.94568,0.95032,0.00464,"[5664, 5675, 5686, 5697, 5708, 5719, 5750, 5761, 5772, 5783]"
Fraud Detection,0.002,300,50,10,25000,10,10,0,0.94758,0.9448,0.95036,0.00556,"[3915, 5628, 5639, 5650, 5661, 5672, 5683, 5694, 5705, 5716]"
Fraud Detection,0.002,300,100,10,25000,10,10,0,0.94772,0.94516,0.95028,0.00512,"[3915, 5631, 5642, 5653, 5664, 5675, 5686, 5697, 5708, 5761]"
Fraud Detection,0.002,300,200,10,25000,10,10,0,0.94786,0.94528,0.95044,0.00516,"[3915, 5631, 5642, 5653, 5664, 5675, 5686, 5697, 5708, 5719]"
Fraud Detection,0.002,500,50,10,25000,10,10,0,0.94786,0.9454,0.95032,0.00492,"[3914, 5636, 5647, 5658, 5669, 5680, 5691, 5702, 5713, 5750]"
Fraud Detection,0.002,500,100,10,25000,10,10,0,0.94794,0.9452,0.95068,0.00548,"[3914, 5635, 5646, 5657, 5668, 5679, 5690, 5701, 5712, 5750]"
Fraud Detection,0.002,500,200,10,25000,10,10,0,0.9479,0.9452,0.9506,0.0054,"[3914, 5658, 5669, 5680, 5761, 5772, 5783, 5794, 5805, 5816]"
Fraud Detection,0.002,1000,50,10,25000,10,10,0,0.94816,0.94528,0.95104,0.00576,"[5694, 5705, 5759, 5770, 5781, 5792, 5803, 5814, 5825, 5836]"
Fraud Detection,0.002,1000,100,10,25000,10,10,0,0.94804,0.94512,0.95096,0.00584,"[5694, 5705, 5759, 5770, 5781, 5792, 5803, 5814, 5825, 5836]"
Fraud Detection,0.002,1000,200,10,25000,10,10,0,0.9481,0.94524,0.95096,0.00572,"[5694, 5705, 5757, 5768, 5779, 5790, 5801, 5812, 5823, 5834]"
Fraud Detection,0.001,300,50,10,25000,10,10,0,0.94776,0.94512,0.9504,0.00528,"[5631, 5642, 5653, 5664, 5675, 5686, 5697, 5708, 5765, 5891]"
Fraud Detection,0.001,300,100,10,25000,10,10,0,0.94792,0.9456,0.95024,0.00464,"[5631, 5642, 5653, 5664, 5675, 5686, 5697, 5708, 5761, 5898]"
