dataset,error_threshold,window_size,false_alarms,detection_delay,total_retrains,retrains_pre_drift,retrains_post_drift,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,retrain_times
Fraud Detection,0.2,100,10,25000,10,10,0,0.94774,0.94488,0.9506,0.00572,"[3937, 3948, 5660, 5671, 5682, 5693, 5704, 5715, 5800, 5811]"
Fraud Detection,0.2,200,5,12524,10,5,5,0.94782,0.94532,0.95032,0.005,"[5767, 5778, 5789, 5800, 5811, 37524, 37535, 37549, 37560, 37571]"
Fraud Detection,0.2,500,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
Fraud Detection,0.25,100,2,6694,10,2,8,0.9475,0.94484,0.95016,0.00532,"[5694, 5705, 31694, 31705, 31716, 31727, 31738, 36183, 36194, 36205]"
Fraud Detection,0.25,200,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
Fraud Detection,0.25,500,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
Fraud Detection,0.3,100,0,6700,7,0,7,0.94728,0.94508,0.94948,0.0044,"[31700, 31711, 31722, 31733, 36190, 36201, 36212]"
Fraud Detection,0.3,200,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
Fraud Detection,0.3,500,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
Fraud Detection,0.35,100,0,6714,1,0,1,0.9483,0.94508,0.95152,0.00644,[31714]
Fraud Detection,0.35,200,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
Fraud Detection,0.35,500,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
Fraud Detection,0.4,100,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
Fraud Detection,0.4,200,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
Fraud Detection,0.4,500,0,25000,0,0,0,0.9482,0.94508,0.95132,0.00624,[]
