drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,drift_triggered,,500,5,10,1,0.72254,0.75668,0.6884,-0.06828000000000001,5,1.0,5,0,1
abrupt,25000,drift_triggered,,500,5,100,5,0.72382,0.75888,0.68876,-0.07011999999999996,5,1.0,5,0,1
abrupt,25000,drift_triggered,,500,5,500,20,0.72274,0.75796,0.68752,-0.07043999999999995,5,1.0,5,0,1
abrupt,25000,drift_triggered,,500,10,10,1,0.7276,0.76084,0.69436,-0.06647999999999998,10,1.0,10,0,1
abrupt,25000,drift_triggered,,500,10,100,5,0.72178,0.75796,0.6856,-0.07235999999999998,10,1.0,9,1,1
abrupt,25000,drift_triggered,,500,10,500,20,0.72284,0.7618,0.68388,-0.07791999999999999,7,0.7,3,4,1
abrupt,25000,drift_triggered,,500,20,10,1,0.72436,0.75752,0.6912,-0.06631999999999993,20,1.0,20,0,1
abrupt,25000,drift_triggered,,500,20,100,5,0.72002,0.7586,0.68144,-0.07716,15,0.75,9,6,1
abrupt,25000,drift_triggered,,500,20,500,20,0.72038,0.75744,0.68332,-0.07411999999999996,9,0.45,5,4,1
gradual,25000,drift_triggered,,500,5,10,1,0.72656,0.7588,0.69432,-0.06447999999999998,5,1.0,5,0,1
gradual,25000,drift_triggered,,500,5,100,5,0.72878,0.75976,0.6978,-0.061960000000000015,5,1.0,5,0,1
gradual,25000,drift_triggered,,500,5,500,20,0.72802,0.76148,0.69456,-0.06692000000000009,5,1.0,5,0,1
gradual,25000,drift_triggered,,500,10,10,1,0.72894,0.75848,0.6994,-0.05908000000000002,10,1.0,10,0,1
gradual,25000,drift_triggered,,500,10,100,5,0.72732,0.7608,0.69384,-0.06696000000000002,10,1.0,9,1,1
gradual,25000,drift_triggered,,500,10,500,20,0.72508,0.75912,0.69104,-0.06808000000000003,9,0.9,5,4,1
gradual,25000,drift_triggered,,500,20,10,1,0.72858,0.75908,0.69808,-0.06099999999999994,20,1.0,20,0,1
gradual,25000,drift_triggered,,500,20,100,5,0.7253,0.75936,0.69124,-0.06812000000000007,11,0.55,5,6,1
gradual,25000,drift_triggered,,500,20,500,20,0.72616,0.76036,0.69196,-0.06840000000000002,7,0.35,4,3,1
recurring,25000,drift_triggered,,500,5,10,1,0.74246,0.75948,0.72544,-0.03404000000000007,5,1.0,5,0,1
recurring,25000,drift_triggered,,500,5,100,5,0.7412,0.75844,0.72396,-0.034479999999999955,5,1.0,5,0,1
recurring,25000,drift_triggered,,500,5,500,20,0.74132,0.76024,0.7224,-0.037839999999999985,5,1.0,4,1,1
recurring,25000,drift_triggered,,500,10,10,1,0.74162,0.7582,0.72504,-0.03315999999999997,10,1.0,10,0,1
recurring,25000,drift_triggered,,500,10,100,5,0.73922,0.75948,0.71896,-0.04052,10,1.0,7,3,1
recurring,25000,drift_triggered,,500,10,500,20,0.7405,0.76032,0.72068,-0.03964000000000001,9,0.9,4,5,1
recurring,25000,drift_triggered,,500,20,10,1,0.73818,0.75684,0.71952,-0.03731999999999991,20,1.0,20,0,1
recurring,25000,drift_triggered,,500,20,100,5,0.73644,0.75756,0.71532,-0.042240000000000055,11,0.55,4,7,1
recurring,25000,drift_triggered,,500,20,500,20,0.73874,0.75864,0.71884,-0.03979999999999995,7,0.35,4,3,1
abrupt,25000,drift_triggered,,500,5,10,1,0.70436,0.72336,0.68536,-0.038000000000000034,5,1.0,5,0,2
abrupt,25000,drift_triggered,,500,5,100,5,0.70574,0.72576,0.68572,-0.040039999999999965,5,1.0,5,0,2
abrupt,25000,drift_triggered,,500,5,500,20,0.70304,0.72212,0.68396,-0.03815999999999997,5,1.0,5,0,2
abrupt,25000,drift_triggered,,500,10,10,1,0.70414,0.72264,0.68564,-0.03699999999999992,10,1.0,10,0,2
abrupt,25000,drift_triggered,,500,10,100,5,0.7006,0.72272,0.67848,-0.04424000000000006,10,1.0,8,2,2
abrupt,25000,drift_triggered,,500,10,500,20,0.70032,0.72304,0.6776,-0.045440000000000036,9,0.9,5,4,2
abrupt,25000,drift_triggered,,500,20,10,1,0.7011,0.7202,0.682,-0.0381999999999999,20,1.0,20,0,2
abrupt,25000,drift_triggered,,500,20,100,5,0.69888,0.72168,0.67608,-0.045599999999999974,20,1.0,7,13,2
