drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,drift_triggered,,500,5,10,1,0.96988,0.9998,0.93996,-0.059840000000000004,1,0.2,0,1,1
abrupt,25000,drift_triggered,,500,5,100,5,0.96884,0.9998,0.93788,-0.061919999999999975,1,0.2,0,1,1
abrupt,25000,drift_triggered,,500,5,500,20,0.96918,0.9998,0.93856,-0.06124000000000007,1,0.2,0,1,1
abrupt,25000,drift_triggered,,500,10,10,1,0.9679,0.9998,0.936,-0.06379999999999997,2,0.2,0,2,1
abrupt,25000,drift_triggered,,500,10,100,5,0.96906,0.9998,0.93832,-0.06147999999999998,1,0.1,0,1,1
abrupt,25000,drift_triggered,,500,10,500,20,0.97032,0.9998,0.94084,-0.05896000000000001,1,0.1,0,1,1
abrupt,25000,drift_triggered,,500,20,10,1,0.96772,0.9998,0.93564,-0.06416,3,0.15,0,3,1
abrupt,25000,drift_triggered,,500,20,100,5,0.96924,0.9998,0.93868,-0.06112000000000006,1,0.05,0,1,1
abrupt,25000,drift_triggered,,500,20,500,20,0.96922,0.9998,0.93864,-0.06115999999999999,1,0.05,0,1,1
gradual,25000,drift_triggered,,500,5,10,1,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,drift_triggered,,500,5,100,5,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,drift_triggered,,500,5,500,20,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,drift_triggered,,500,10,10,1,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,drift_triggered,,500,10,100,5,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,drift_triggered,,500,10,500,20,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,drift_triggered,,500,20,10,1,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,drift_triggered,,500,20,100,5,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,drift_triggered,,500,20,500,20,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
recurring,25000,drift_triggered,,500,5,10,1,0.97974,0.99984,0.95964,-0.0401999999999999,5,1.0,0,5,1
recurring,25000,drift_triggered,,500,5,100,5,0.97948,0.99984,0.95912,-0.04071999999999998,5,1.0,0,5,1
recurring,25000,drift_triggered,,500,5,500,20,0.98054,0.99984,0.96124,-0.03859999999999997,1,0.2,0,1,1
recurring,25000,drift_triggered,,500,10,10,1,0.97954,0.99984,0.95924,-0.04059999999999997,10,1.0,0,10,1
recurring,25000,drift_triggered,,500,10,100,5,0.97942,0.99984,0.959,-0.04083999999999999,3,0.3,0,3,1
recurring,25000,drift_triggered,,500,10,500,20,0.97992,0.99984,0.96,-0.03983999999999999,1,0.1,0,1,1
recurring,25000,drift_triggered,,500,20,10,1,0.9787,0.99984,0.95756,-0.042279999999999984,20,1.0,0,20,1
recurring,25000,drift_triggered,,500,20,100,5,0.97976,0.99984,0.95968,-0.040159999999999973,4,0.2,0,4,1
recurring,25000,drift_triggered,,500,20,500,20,0.98052,0.99984,0.9612,-0.0386399999999999,1,0.05,0,1,1
abrupt,25000,drift_triggered,,500,5,10,1,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,drift_triggered,,500,5,100,5,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,drift_triggered,,500,5,500,20,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,drift_triggered,,500,10,10,1,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,drift_triggered,,500,10,100,5,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,drift_triggered,,500,10,500,20,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,drift_triggered,,500,20,10,1,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,drift_triggered,,500,20,100,5,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,drift_triggered,,500,20,500,20,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
gradual,25000,drift_triggered,,500,5,10,1,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,drift_triggered,,500,5,100,5,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,drift_triggered,,500,5,500,20,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,drift_triggered,,500,10,10,1,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,drift_triggered,,500,10,100,5,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,drift_triggered,,500,10,500,20,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,drift_triggered,,500,20,10,1,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,drift_triggered,,500,20,100,5,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,drift_triggered,,500,20,500,20,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
recurring,25000,drift_triggered,,500,5,10,1,0.96198,0.96428,0.95968,-0.0046000000000000485,5,1.0,0,5,2
recurring,25000,drift_triggered,,500,5,100,5,0.96222,0.96428,0.96016,-0.0041200000000000125,4,0.8,0,4,2
recurring,25000,drift_triggered,,500,5,500,20,0.96422,0.96428,0.96416,-0.00012000000000000899,1,0.2,0,1,2
recurring,25000,drift_triggered,,500,10,10,1,0.96168,0.96428,0.95908,-0.005199999999999982,10,1.0,0,10,2
recurring,25000,drift_triggered,,500,10,100,5,0.96186,0.96428,0.95944,-0.0048400000000000665,2,0.2,0,2,2
recurring,25000,drift_triggered,,500,10,500,20,0.96398,0.96428,0.96368,-0.0006000000000000449,1,0.1,0,1,2
recurring,25000,drift_triggered,,500,20,10,1,0.96166,0.96428,0.95904,-0.005240000000000022,20,1.0,0,20,2
recurring,25000,drift_triggered,,500,20,100,5,0.96212,0.96428,0.95996,-0.0043199999999999905,3,0.15,0,3,2
recurring,25000,drift_triggered,,500,20,500,20,0.96426,0.96428,0.96424,-4.0000000000040004e-05,1,0.05,0,1,2
abrupt,25000,drift_triggered,,500,5,10,1,0.99446,0.99976,0.98916,-0.010599999999999943,5,1.0,0,5,3
abrupt,25000,drift_triggered,,500,5,100,5,0.99364,0.99976,0.98752,-0.012240000000000029,5,1.0,0,5,3
abrupt,25000,drift_triggered,,500,5,500,20,0.99304,0.99976,0.98632,-0.013440000000000007,2,0.4,0,2,3
abrupt,25000,drift_triggered,,500,10,10,1,0.99444,0.99976,0.98912,-0.010639999999999983,10,1.0,0,10,3
abrupt,25000,drift_triggered,,500,10,100,5,0.99344,0.99976,0.98712,-0.012639999999999985,9,0.9,0,9,3
abrupt,25000,drift_triggered,,500,10,500,20,0.99318,0.99976,0.9866,-0.01315999999999995,2,0.2,0,2,3
abrupt,25000,drift_triggered,,500,20,10,1,0.99422,0.99976,0.98868,-0.011079999999999979,20,1.0,0,20,3
abrupt,25000,drift_triggered,,500,20,100,5,0.99328,0.99976,0.9868,-0.012959999999999972,9,0.45,0,9,3
abrupt,25000,drift_triggered,,500,20,500,20,0.9934,0.99976,0.98704,-0.012719999999999954,2,0.1,0,2,3
gradual,25000,drift_triggered,,500,5,10,1,0.98656,0.99976,0.97336,-0.02639999999999998,0,0.0,0,0,3
gradual,25000,drift_triggered,,500,5,100,5,0.98656,0.99976,0.97336,-0.02639999999999998,0,0.0,0,0,3
gradual,25000,drift_triggered,,500,5,500,20,0.98656,0.99976,0.97336,-0.02639999999999998,0,0.0,0,0,3
gradual,25000,drift_triggered,,500,10,10,1,0.98656,0.99976,0.97336,-0.02639999999999998,0,0.0,0,0,3
gradual,25000,drift_triggered,,500,10,100,5,0.98656,0.99976,0.97336,-0.02639999999999998,0,0.0,0,0,3
gradual,25000,drift_triggered,,500,10,500,20,0.98656,0.99976,0.97336,-0.02639999999999998,0,0.0,0,0,3
gradual,25000,drift_triggered,,500,20,10,1,0.98656,0.99976,0.97336,-0.02639999999999998,0,0.0,0,0,3
gradual,25000,drift_triggered,,500,20,100,5,0.98656,0.99976,0.97336,-0.02639999999999998,0,0.0,0,0,3
gradual,25000,drift_triggered,,500,20,500,20,0.98656,0.99976,0.97336,-0.02639999999999998,0,0.0,0,0,3
recurring,25000,drift_triggered,,500,5,10,1,0.99442,0.99972,0.98912,-0.010600000000000054,5,1.0,0,5,3
recurring,25000,drift_triggered,,500,5,100,5,0.99368,0.99972,0.98764,-0.01208000000000009,5,1.0,0,5,3
recurring,25000,drift_triggered,,500,5,500,20,0.99322,0.99972,0.98672,-0.013000000000000012,3,0.6,0,3,3
recurring,25000,drift_triggered,,500,10,10,1,0.99434,0.99972,0.98896,-0.010760000000000103,10,1.0,0,10,3
recurring,25000,drift_triggered,,500,10,100,5,0.9927,0.99972,0.98568,-0.014040000000000052,10,1.0,0,10,3
recurring,25000,drift_triggered,,500,10,500,20,0.99366,0.99972,0.9876,-0.01212000000000002,3,0.3,0,3,3
recurring,25000,drift_triggered,,500,20,10,1,0.99426,0.99972,0.9888,-0.01092000000000004,20,1.0,0,20,3
recurring,25000,drift_triggered,,500,20,100,5,0.9936,0.99972,0.98748,-0.012240000000000029,7,0.35,0,7,3
recurring,25000,drift_triggered,,500,20,500,20,0.9922,0.99972,0.98468,-0.015040000000000053,3,0.15,0,3,3
