drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,periodic,,,5,10,1,0.96824,0.9998,0.93668,-0.06312000000000006,5,1.0,3,2,1
abrupt,25000,periodic,,,5,100,5,0.9683,0.9998,0.9368,-0.06300000000000006,5,1.0,3,2,1
abrupt,25000,periodic,,,5,500,20,0.9683,0.9998,0.9368,-0.06300000000000006,5,1.0,3,2,1
abrupt,25000,periodic,,,10,10,1,0.96736,0.9998,0.93492,-0.06488000000000005,10,1.0,5,5,1
abrupt,25000,periodic,,,10,100,5,0.96718,0.9998,0.93456,-0.06524000000000008,10,1.0,5,5,1
abrupt,25000,periodic,,,10,500,20,0.96704,0.9998,0.93428,-0.06552000000000002,10,1.0,5,5,1
abrupt,25000,periodic,,,20,10,1,0.96522,0.9998,0.93064,-0.06916,20,1.0,10,10,1
abrupt,25000,periodic,,,20,100,5,0.96592,0.9998,0.93204,-0.06776000000000004,20,1.0,10,10,1
abrupt,25000,periodic,,,20,500,20,0.96628,0.9998,0.93276,-0.06703999999999999,20,1.0,10,10,1
gradual,25000,periodic,,,5,10,1,0.97074,0.99968,0.9418,-0.05788000000000004,5,1.0,3,2,1
gradual,25000,periodic,,,5,100,5,0.97084,0.99968,0.942,-0.057680000000000065,5,1.0,3,2,1
gradual,25000,periodic,,,5,500,20,0.97074,0.99968,0.9418,-0.05788000000000004,5,1.0,3,2,1
gradual,25000,periodic,,,10,10,1,0.97008,0.99968,0.94048,-0.05920000000000003,10,1.0,5,5,1
gradual,25000,periodic,,,10,100,5,0.97016,0.99968,0.94064,-0.05903999999999998,10,1.0,5,5,1
gradual,25000,periodic,,,10,500,20,0.97026,0.99968,0.94084,-0.05884,10,1.0,5,5,1
gradual,25000,periodic,,,20,10,1,0.96926,0.99968,0.93884,-0.060840000000000005,20,1.0,10,10,1
gradual,25000,periodic,,,20,100,5,0.96858,0.99968,0.93748,-0.06220000000000003,20,1.0,10,10,1
gradual,25000,periodic,,,20,500,20,0.96914,0.99968,0.9386,-0.06108000000000002,20,1.0,10,10,1
recurring,25000,periodic,,,5,10,1,0.9793,0.99984,0.95876,-0.041080000000000005,5,1.0,3,2,1
recurring,25000,periodic,,,5,100,5,0.97938,0.99984,0.95892,-0.040919999999999956,5,1.0,3,2,1
recurring,25000,periodic,,,5,500,20,0.97948,0.99984,0.95912,-0.04071999999999998,5,1.0,3,2,1
recurring,25000,periodic,,,10,10,1,0.97796,0.99984,0.95608,-0.04375999999999991,10,1.0,5,5,1
recurring,25000,periodic,,,10,100,5,0.97804,0.99984,0.95624,-0.04359999999999997,10,1.0,5,5,1
recurring,25000,periodic,,,10,500,20,0.97806,0.99984,0.95628,-0.04355999999999993,10,1.0,5,5,1
recurring,25000,periodic,,,20,10,1,0.9781,0.99984,0.95636,-0.04347999999999996,20,1.0,10,10,1
