drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,error_threshold,0.2,200,5,10,1,0.96934,0.9998,0.93888,-0.060919999999999974,0,0.0,0,0,1
abrupt,25000,error_threshold,0.2,200,5,100,5,0.96934,0.9998,0.93888,-0.060919999999999974,0,0.0,0,0,1
abrupt,25000,error_threshold,0.2,200,5,500,20,0.96934,0.9998,0.93888,-0.060919999999999974,0,0.0,0,0,1
abrupt,25000,error_threshold,0.2,200,10,10,1,0.96934,0.9998,0.93888,-0.060919999999999974,0,0.0,0,0,1
abrupt,25000,error_threshold,0.2,200,10,100,5,0.96934,0.9998,0.93888,-0.060919999999999974,0,0.0,0,0,1
abrupt,25000,error_threshold,0.2,200,10,500,20,0.96934,0.9998,0.93888,-0.060919999999999974,0,0.0,0,0,1
abrupt,25000,error_threshold,0.2,200,20,10,1,0.96934,0.9998,0.93888,-0.060919999999999974,0,0.0,0,0,1
abrupt,25000,error_threshold,0.2,200,20,100,5,0.96934,0.9998,0.93888,-0.060919999999999974,0,0.0,0,0,1
abrupt,25000,error_threshold,0.2,200,20,500,20,0.96934,0.9998,0.93888,-0.060919999999999974,0,0.0,0,0,1
gradual,25000,error_threshold,0.2,200,5,10,1,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,error_threshold,0.2,200,5,100,5,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,error_threshold,0.2,200,5,500,20,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,error_threshold,0.2,200,10,10,1,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,error_threshold,0.2,200,10,100,5,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,error_threshold,0.2,200,10,500,20,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,error_threshold,0.2,200,20,10,1,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,error_threshold,0.2,200,20,100,5,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
gradual,25000,error_threshold,0.2,200,20,500,20,0.9706,0.99968,0.94152,-0.05815999999999999,0,0.0,0,0,1
recurring,25000,error_threshold,0.2,200,5,10,1,0.98056,0.99984,0.96128,-0.03855999999999993,0,0.0,0,0,1
recurring,25000,error_threshold,0.2,200,5,100,5,0.98056,0.99984,0.96128,-0.03855999999999993,0,0.0,0,0,1
recurring,25000,error_threshold,0.2,200,5,500,20,0.98056,0.99984,0.96128,-0.03855999999999993,0,0.0,0,0,1
recurring,25000,error_threshold,0.2,200,10,10,1,0.98056,0.99984,0.96128,-0.03855999999999993,0,0.0,0,0,1
recurring,25000,error_threshold,0.2,200,10,100,5,0.98056,0.99984,0.96128,-0.03855999999999993,0,0.0,0,0,1
recurring,25000,error_threshold,0.2,200,10,500,20,0.98056,0.99984,0.96128,-0.03855999999999993,0,0.0,0,0,1
recurring,25000,error_threshold,0.2,200,20,10,1,0.98056,0.99984,0.96128,-0.03855999999999993,0,0.0,0,0,1
recurring,25000,error_threshold,0.2,200,20,100,5,0.98056,0.99984,0.96128,-0.03855999999999993,0,0.0,0,0,1
recurring,25000,error_threshold,0.2,200,20,500,20,0.98056,0.99984,0.96128,-0.03855999999999993,0,0.0,0,0,1
abrupt,25000,error_threshold,0.2,200,5,10,1,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,error_threshold,0.2,200,5,100,5,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,error_threshold,0.2,200,5,500,20,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,error_threshold,0.2,200,10,10,1,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,error_threshold,0.2,200,10,100,5,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,error_threshold,0.2,200,10,500,20,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,error_threshold,0.2,200,20,10,1,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,error_threshold,0.2,200,20,100,5,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
abrupt,25000,error_threshold,0.2,200,20,500,20,0.95564,0.9652,0.94608,-0.019119999999999915,0,0.0,0,0,2
gradual,25000,error_threshold,0.2,200,5,10,1,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,error_threshold,0.2,200,5,100,5,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,error_threshold,0.2,200,5,500,20,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,error_threshold,0.2,200,10,10,1,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,error_threshold,0.2,200,10,100,5,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,error_threshold,0.2,200,10,500,20,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,error_threshold,0.2,200,20,10,1,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,error_threshold,0.2,200,20,100,5,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
gradual,25000,error_threshold,0.2,200,20,500,20,0.95764,0.96456,0.95072,-0.013839999999999963,0,0.0,0,0,2
recurring,25000,error_threshold,0.2,200,5,10,1,0.9638,0.96428,0.96332,-0.0009600000000000719,0,0.0,0,0,2
recurring,25000,error_threshold,0.2,200,5,100,5,0.9638,0.96428,0.96332,-0.0009600000000000719,0,0.0,0,0,2
recurring,25000,error_threshold,0.2,200,5,500,20,0.9638,0.96428,0.96332,-0.0009600000000000719,0,0.0,0,0,2
recurring,25000,error_threshold,0.2,200,10,10,1,0.9638,0.96428,0.96332,-0.0009600000000000719,0,0.0,0,0,2
recurring,25000,error_threshold,0.2,200,10,100,5,0.9638,0.96428,0.96332,-0.0009600000000000719,0,0.0,0,0,2
recurring,25000,error_threshold,0.2,200,10,500,20,0.9638,0.96428,0.96332,-0.0009600000000000719,0,0.0,0,0,2
recurring,25000,error_threshold,0.2,200,20,10,1,0.9638,0.96428,0.96332,-0.0009600000000000719,0,0.0,0,0,2
recurring,25000,error_threshold,0.2,200,20,100,5,0.9638,0.96428,0.96332,-0.0009600000000000719,0,0.0,0,0,2
recurring,25000,error_threshold,0.2,200,20,500,20,0.9638,0.96428,0.96332,-0.0009600000000000719,0,0.0,0,0,2
abrupt,25000,error_threshold,0.2,200,5,10,1,0.99416,0.99976,0.98856,-0.011199999999999988,5,1.0,0,5,3
abrupt,25000,error_threshold,0.2,200,5,100,5,0.99392,0.99976,0.98808,-0.011680000000000024,2,0.4,0,2,3
abrupt,25000,error_threshold,0.2,200,5,500,20,0.99362,0.99976,0.98748,-0.012279999999999958,1,0.2,0,1,3
abrupt,25000,error_threshold,0.2,200,10,10,1,0.99398,0.99976,0.9882,-0.011560000000000015,10,1.0,0,10,3
abrupt,25000,error_threshold,0.2,200,10,100,5,0.99348,0.99976,0.9872,-0.012560000000000016,2,0.2,0,2,3
abrupt,25000,error_threshold,0.2,200,10,500,20,0.99318,0.99976,0.9866,-0.01315999999999995,1,0.1,0,1,3
abrupt,25000,error_threshold,0.2,200,20,10,1,0.9943,0.99976,0.98884,-0.01091999999999993,15,0.75,0,15,3
abrupt,25000,error_threshold,0.2,200,20,100,5,0.99386,0.99976,0.98796,-0.011800000000000033,2,0.1,0,2,3
abrupt,25000,error_threshold,0.2,200,20,500,20,0.99418,0.99976,0.9886,-0.011159999999999948,1,0.05,0,1,3
gradual,25000,error_threshold,0.2,200,5,10,1,0.98804,0.99976,0.97632,-0.023440000000000016,1,0.2,0,1,3
gradual,25000,error_threshold,0.2,200,5,100,5,0.98814,0.99976,0.97652,-0.023239999999999927,1,0.2,0,1,3
gradual,25000,error_threshold,0.2,200,5,500,20,0.98818,0.99976,0.9766,-0.02315999999999996,1,0.2,0,1,3
gradual,25000,error_threshold,0.2,200,10,10,1,0.9881,0.99976,0.97644,-0.023320000000000007,1,0.1,0,1,3
