drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,drift_triggered,,500,5,10,1,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,10,1,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,10,1,0.8034,0.8202,0.7866,-0.033600000000000074,5,1.0,0,5,456
abrupt,5000,drift_triggered,,500,5,100,5,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,100,5,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,100,5,0.8018,0.8202,0.7834,-0.036800000000000055,3,0.6,0,3,456
abrupt,5000,drift_triggered,,500,5,500,20,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,500,20,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,500,20,0.8072,0.8202,0.7942,-0.026000000000000023,1,0.2,0,1,456
abrupt,5000,drift_triggered,,500,5,10,1,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,10,1,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,10,1,0.803,0.8202,0.7858,-0.034399999999999986,5,1.0,0,5,456
abrupt,5000,drift_triggered,,500,5,100,5,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,100,5,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,100,5,0.8036,0.8202,0.787,-0.03320000000000001,3,0.6,0,3,456
abrupt,5000,drift_triggered,,500,5,500,20,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,500,20,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,500,20,0.8076,0.8202,0.795,-0.0252,1,0.2,0,1,456
abrupt,5000,drift_triggered,,500,20,10,1,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,20,10,1,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,20,10,1,0.7995,0.8202,0.7788,-0.04139999999999999,20,1.0,0,20,456
