drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,drift_triggered,,500,5,2,1,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,2,1,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,2,1,0.8034,0.8202,0.7866,-0.033600000000000074,5,1.0,0,5,456
abrupt,5000,drift_triggered,,500,5,2000,50,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,2000,50,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,2000,50,0.8077,0.8202,0.7952,-0.025000000000000022,1,0.2,0,1,456
abrupt,5000,drift_triggered,,500,10,2,1,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,10,2,1,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,10,2,1,0.805,0.8202,0.7898,-0.030400000000000094,10,1.0,0,10,456
abrupt,5000,drift_triggered,,500,10,2000,50,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,10,2000,50,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,10,2000,50,0.8065,0.8202,0.7928,-0.02740000000000009,1,0.1,0,1,456
abrupt,5000,drift_triggered,,500,20,2,1,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,20,2,1,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,20,2,1,0.8024,0.8202,0.7846,-0.035600000000000076,20,1.0,0,20,456
abrupt,5000,drift_triggered,,500,20,2000,50,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,20,2000,50,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,20,2000,50,0.807,0.8202,0.7938,-0.02640000000000009,1,0.05,0,1,456
gradual,5000,drift_triggered,,500,5,2,1,0.7503,0.7732,0.7274,-0.04579999999999995,0,0.0,0,0,42
gradual,5000,drift_triggered,,500,5,2,1,0.7361,0.714,0.7582,0.04420000000000002,0,0.0,0,0,123
gradual,5000,drift_triggered,,500,5,2,1,0.8036,0.8202,0.787,-0.03320000000000001,0,0.0,0,0,456
gradual,5000,drift_triggered,,500,5,2000,50,0.7503,0.7732,0.7274,-0.04579999999999995,0,0.0,0,0,42
gradual,5000,drift_triggered,,500,5,2000,50,0.7361,0.714,0.7582,0.04420000000000002,0,0.0,0,0,123
gradual,5000,drift_triggered,,500,5,2000,50,0.8036,0.8202,0.787,-0.03320000000000001,0,0.0,0,0,456
gradual,5000,drift_triggered,,500,10,2,1,0.7503,0.7732,0.7274,-0.04579999999999995,0,0.0,0,0,42
gradual,5000,drift_triggered,,500,10,2,1,0.7361,0.714,0.7582,0.04420000000000002,0,0.0,0,0,123
gradual,5000,drift_triggered,,500,10,2,1,0.8036,0.8202,0.787,-0.03320000000000001,0,0.0,0,0,456
gradual,5000,drift_triggered,,500,10,2000,50,0.7503,0.7732,0.7274,-0.04579999999999995,0,0.0,0,0,42
gradual,5000,drift_triggered,,500,10,2000,50,0.7361,0.714,0.7582,0.04420000000000002,0,0.0,0,0,123
gradual,5000,drift_triggered,,500,10,2000,50,0.8036,0.8202,0.787,-0.03320000000000001,0,0.0,0,0,456
gradual,5000,drift_triggered,,500,20,2,1,0.7503,0.7732,0.7274,-0.04579999999999995,0,0.0,0,0,42
gradual,5000,drift_triggered,,500,20,2,1,0.7361,0.714,0.7582,0.04420000000000002,0,0.0,0,0,123
gradual,5000,drift_triggered,,500,20,2,1,0.8036,0.8202,0.787,-0.03320000000000001,0,0.0,0,0,456
gradual,5000,drift_triggered,,500,20,2000,50,0.7503,0.7732,0.7274,-0.04579999999999995,0,0.0,0,0,42
gradual,5000,drift_triggered,,500,20,2000,50,0.7361,0.714,0.7582,0.04420000000000002,0,0.0,0,0,123
gradual,5000,drift_triggered,,500,20,2000,50,0.8036,0.8202,0.787,-0.03320000000000001,0,0.0,0,0,456
recurring,5000,drift_triggered,,500,5,2,1,0.76,0.7732,0.7468,-0.02639999999999998,0,0.0,0,0,42
recurring,5000,drift_triggered,,500,5,2,1,0.7243,0.714,0.7346,0.020600000000000063,5,1.0,0,5,123
recurring,5000,drift_triggered,,500,5,2,1,0.8052,0.8202,0.7902,-0.030000000000000027,5,1.0,0,5,456
recurring,5000,drift_triggered,,500,5,2000,50,0.76,0.7732,0.7468,-0.02639999999999998,0,0.0,0,0,42
recurring,5000,drift_triggered,,500,5,2000,50,0.7258,0.714,0.7376,0.023600000000000065,1,0.2,0,1,123
recurring,5000,drift_triggered,,500,5,2000,50,0.8034,0.8202,0.7866,-0.033600000000000074,3,0.6,0,3,456
recurring,5000,drift_triggered,,500,10,2,1,0.76,0.7732,0.7468,-0.02639999999999998,0,0.0,0,0,42
recurring,5000,drift_triggered,,500,10,2,1,0.7251,0.714,0.7362,0.022199999999999998,10,1.0,0,10,123
recurring,5000,drift_triggered,,500,10,2,1,0.8066,0.8202,0.793,-0.027200000000000002,10,1.0,0,10,456
recurring,5000,drift_triggered,,500,10,2000,50,0.76,0.7732,0.7468,-0.02639999999999998,0,0.0,0,0,42
recurring,5000,drift_triggered,,500,10,2000,50,0.7259,0.714,0.7378,0.023800000000000043,1,0.1,0,1,123
recurring,5000,drift_triggered,,500,10,2000,50,0.8068,0.8202,0.7934,-0.026800000000000046,2,0.2,0,2,456
recurring,5000,drift_triggered,,500,20,2,1,0.76,0.7732,0.7468,-0.02639999999999998,0,0.0,0,0,42
recurring,5000,drift_triggered,,500,20,2,1,0.7225,0.714,0.731,0.017000000000000015,20,1.0,0,20,123
recurring,5000,drift_triggered,,500,20,2,1,0.8054,0.8202,0.7906,-0.02960000000000007,20,1.0,0,20,456
recurring,5000,drift_triggered,,500,20,2000,50,0.76,0.7732,0.7468,-0.02639999999999998,0,0.0,0,0,42
recurring,5000,drift_triggered,,500,20,2000,50,0.7262,0.714,0.7384,0.024399999999999977,1,0.05,0,1,123
recurring,5000,drift_triggered,,500,20,2000,50,0.8061,0.8202,0.792,-0.028200000000000003,2,0.1,0,2,456
