drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,error_threshold,0.27,200,5,10,1,0.753,0.7726,0.7334,-0.0391999999999999,5,1.0,5,0,42
abrupt,5000,error_threshold,0.27,200,5,10,1,0.7366,0.7078,0.7654,0.057599999999999985,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,10,1,0.8022,0.8202,0.7842,-0.03600000000000003,5,1.0,0,5,456
abrupt,5000,error_threshold,0.27,200,5,100,5,0.7497,0.7676,0.7318,-0.03579999999999994,5,1.0,5,0,42
abrupt,5000,error_threshold,0.27,200,5,100,5,0.7393,0.7164,0.7622,0.04579999999999995,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,100,5,0.8045,0.8202,0.7888,-0.031400000000000095,5,1.0,0,5,456
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7516,0.7766,0.7266,-0.04999999999999993,5,1.0,4,1,42
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7357,0.7096,0.7618,0.052200000000000024,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,500,20,0.8024,0.8202,0.7846,-0.035600000000000076,4,0.8,0,4,456
abrupt,5000,error_threshold,0.27,200,10,10,1,0.7541,0.7746,0.7336,-0.040999999999999925,10,1.0,10,0,42
abrupt,5000,error_threshold,0.27,200,10,10,1,0.7348,0.7066,0.763,0.056400000000000006,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,10,1,0.8016,0.8202,0.783,-0.03720000000000001,10,1.0,0,10,456
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7542,0.7818,0.7266,-0.05520000000000003,10,1.0,7,3,42
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7382,0.7174,0.759,0.04159999999999997,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,100,5,0.8034,0.8202,0.7866,-0.033600000000000074,5,0.5,0,5,456
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7523,0.7736,0.731,-0.04259999999999997,10,1.0,3,7,42
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7439,0.7202,0.7676,0.0474,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,500,20,0.8011,0.8202,0.782,-0.03820000000000001,4,0.4,0,4,456
abrupt,5000,error_threshold,0.27,200,20,10,1,0.7509,0.767,0.7348,-0.032200000000000006,20,1.0,20,0,42
abrupt,5000,error_threshold,0.27,200,20,10,1,0.7353,0.7062,0.7644,0.05819999999999992,20,1.0,20,0,123
abrupt,5000,error_threshold,0.27,200,20,10,1,0.8005,0.8202,0.7808,-0.03939999999999999,20,1.0,0,20,456
abrupt,5000,error_threshold,0.27,200,20,100,5,0.75,0.77,0.73,-0.040000000000000036,20,1.0,10,10,42
abrupt,5000,error_threshold,0.27,200,20,100,5,0.738,0.7126,0.7634,0.050799999999999956,20,1.0,20,0,123
abrupt,5000,error_threshold,0.27,200,20,100,5,0.8035,0.8202,0.7868,-0.033399999999999985,5,0.25,0,5,456
abrupt,5000,error_threshold,0.27,200,20,500,20,0.7536,0.7758,0.7314,-0.044399999999999995,12,0.6,3,9,42
abrupt,5000,error_threshold,0.27,200,20,500,20,0.7392,0.7126,0.7658,0.053200000000000025,15,0.75,10,5,123
abrupt,5000,error_threshold,0.27,200,20,500,20,0.8022,0.8202,0.7842,-0.03600000000000003,3,0.15,0,3,456
gradual,5000,error_threshold,0.27,200,5,10,1,0.7512,0.767,0.7354,-0.03159999999999996,5,1.0,5,0,42
gradual,5000,error_threshold,0.27,200,5,10,1,0.7343,0.71,0.7586,0.04860000000000009,5,1.0,5,0,123
gradual,5000,error_threshold,0.27,200,5,10,1,0.7998,0.8202,0.7794,-0.04080000000000006,5,1.0,0,5,456
gradual,5000,error_threshold,0.27,200,5,100,5,0.751,0.7724,0.7296,-0.04279999999999995,5,1.0,5,0,42
gradual,5000,error_threshold,0.27,200,5,100,5,0.7359,0.7138,0.758,0.04420000000000002,5,1.0,5,0,123
gradual,5000,error_threshold,0.27,200,5,100,5,0.8005,0.8202,0.7808,-0.03939999999999999,5,1.0,0,5,456
gradual,5000,error_threshold,0.27,200,5,500,20,0.7513,0.774,0.7286,-0.045399999999999996,5,1.0,4,1,42
gradual,5000,error_threshold,0.27,200,5,500,20,0.736,0.7182,0.7538,0.035600000000000076,5,1.0,5,0,123
gradual,5000,error_threshold,0.27,200,5,500,20,0.8017,0.8202,0.7832,-0.03700000000000003,2,0.4,0,2,456
gradual,5000,error_threshold,0.27,200,10,10,1,0.7503,0.7708,0.7298,-0.041000000000000036,10,1.0,10,0,42
gradual,5000,error_threshold,0.27,200,10,10,1,0.7351,0.7136,0.7566,0.04300000000000004,10,1.0,10,0,123
gradual,5000,error_threshold,0.27,200,10,10,1,0.8014,0.8202,0.7826,-0.03760000000000008,10,1.0,0,10,456
