drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,error_threshold,0.4,100,5,10,1,0.7489,0.7732,0.7246,-0.04859999999999998,2,0.4,0,2,42
abrupt,5000,error_threshold,0.4,100,5,10,1,0.7377,0.7112,0.7642,0.052999999999999936,5,1.0,5,0,123
abrupt,5000,error_threshold,0.4,100,5,10,1,0.7994,0.8202,0.7786,-0.04160000000000008,5,1.0,0,5,456
abrupt,5000,error_threshold,0.4,100,5,10,1,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,error_threshold,0.4,100,5,10,1,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.4,100,5,10,1,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,error_threshold,0.4,100,5,10,1,0.7717,0.772,0.7714,-0.0006000000000000449,0,0.0,0,0,1415
abrupt,5000,error_threshold,0.4,100,5,10,1,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,error_threshold,0.4,100,5,10,1,0.7514,0.79,0.7128,-0.07720000000000005,5,1.0,0,5,1819
abrupt,5000,error_threshold,0.4,100,5,10,1,0.7446,0.7966,0.6926,-0.10399999999999998,5,1.0,0,5,2021
abrupt,5000,error_threshold,0.4,100,5,100,5,0.7505,0.7732,0.7278,-0.045399999999999996,2,0.4,0,2,42
abrupt,5000,error_threshold,0.4,100,5,100,5,0.7366,0.7076,0.7656,0.05799999999999994,2,0.4,2,0,123
abrupt,5000,error_threshold,0.4,100,5,100,5,0.8064,0.8202,0.7926,-0.02760000000000007,1,0.2,0,1,456
abrupt,5000,error_threshold,0.4,100,5,100,5,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,error_threshold,0.4,100,5,100,5,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.4,100,5,100,5,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,error_threshold,0.4,100,5,100,5,0.7717,0.772,0.7714,-0.0006000000000000449,0,0.0,0,0,1415
abrupt,5000,error_threshold,0.4,100,5,100,5,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,error_threshold,0.4,100,5,100,5,0.7533,0.79,0.7166,-0.07340000000000002,5,1.0,0,5,1819
abrupt,5000,error_threshold,0.4,100,5,100,5,0.7454,0.7966,0.6942,-0.10239999999999994,4,0.8,0,4,2021
abrupt,5000,error_threshold,0.4,100,5,500,20,0.7525,0.7732,0.7318,-0.04139999999999999,2,0.4,0,2,42
abrupt,5000,error_threshold,0.4,100,5,500,20,0.7371,0.7128,0.7614,0.04859999999999998,2,0.4,2,0,123
abrupt,5000,error_threshold,0.4,100,5,500,20,0.8075,0.8202,0.7948,-0.02540000000000009,1,0.2,0,1,456
abrupt,5000,error_threshold,0.4,100,5,500,20,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,error_threshold,0.4,100,5,500,20,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.4,100,5,500,20,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,error_threshold,0.4,100,5,500,20,0.7717,0.772,0.7714,-0.0006000000000000449,0,0.0,0,0,1415
abrupt,5000,error_threshold,0.4,100,5,500,20,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,error_threshold,0.4,100,5,500,20,0.7496,0.79,0.7092,-0.08079999999999998,3,0.6,0,3,1819
abrupt,5000,error_threshold,0.4,100,5,500,20,0.7436,0.7966,0.6906,-0.10599999999999998,5,1.0,0,5,2021
abrupt,5000,error_threshold,0.4,100,10,10,1,0.752,0.7732,0.7308,-0.04239999999999999,2,0.2,0,2,42
abrupt,5000,error_threshold,0.4,100,10,10,1,0.7398,0.7158,0.7638,0.04800000000000004,1,0.1,1,0,123
abrupt,5000,error_threshold,0.4,100,10,10,1,0.8016,0.8202,0.783,-0.03720000000000001,3,0.3,0,3,456
abrupt,5000,error_threshold,0.4,100,10,10,1,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,error_threshold,0.4,100,10,10,1,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.4,100,10,10,1,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,error_threshold,0.4,100,10,10,1,0.7717,0.772,0.7714,-0.0006000000000000449,0,0.0,0,0,1415
abrupt,5000,error_threshold,0.4,100,10,10,1,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,error_threshold,0.4,100,10,10,1,0.7483,0.79,0.7066,-0.08340000000000003,10,1.0,0,10,1819
abrupt,5000,error_threshold,0.4,100,10,10,1,0.7469,0.7966,0.6972,-0.09939999999999993,10,1.0,0,10,2021
abrupt,5000,error_threshold,0.4,100,10,100,5,0.7519,0.7732,0.7306,-0.04259999999999997,1,0.1,0,1,42
abrupt,5000,error_threshold,0.4,100,10,100,5,0.7369,0.7132,0.7606,0.04740000000000011,3,0.3,2,1,123
abrupt,5000,error_threshold,0.4,100,10,100,5,0.8058,0.8202,0.7914,-0.028800000000000048,1,0.1,0,1,456
abrupt,5000,error_threshold,0.4,100,10,100,5,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,error_threshold,0.4,100,10,100,5,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.4,100,10,100,5,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,error_threshold,0.4,100,10,100,5,0.7717,0.772,0.7714,-0.0006000000000000449,0,0.0,0,0,1415
abrupt,5000,error_threshold,0.4,100,10,100,5,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,error_threshold,0.4,100,10,100,5,0.7475,0.79,0.705,-0.08500000000000008,4,0.4,0,4,1819
abrupt,5000,error_threshold,0.4,100,10,100,5,0.745,0.7966,0.6934,-0.10319999999999996,4,0.4,0,4,2021
abrupt,5000,error_threshold,0.4,100,10,500,20,0.7528,0.7732,0.7324,-0.04079999999999995,1,0.1,0,1,42
abrupt,5000,error_threshold,0.4,100,10,500,20,0.7352,0.7114,0.759,0.047599999999999976,3,0.3,3,0,123
abrupt,5000,error_threshold,0.4,100,10,500,20,0.8077,0.8202,0.7952,-0.025000000000000022,1,0.1,0,1,456
abrupt,5000,error_threshold,0.4,100,10,500,20,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,error_threshold,0.4,100,10,500,20,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.4,100,10,500,20,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,error_threshold,0.4,100,10,500,20,0.7717,0.772,0.7714,-0.0006000000000000449,0,0.0,0,0,1415
abrupt,5000,error_threshold,0.4,100,10,500,20,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,error_threshold,0.4,100,10,500,20,0.7501,0.79,0.7102,-0.07979999999999998,1,0.1,0,1,1819
abrupt,5000,error_threshold,0.4,100,10,500,20,0.7476,0.7966,0.6986,-0.09799999999999998,1,0.1,0,1,2021
abrupt,5000,error_threshold,0.4,100,20,10,1,0.7523,0.7732,0.7314,-0.04179999999999995,1,0.05,0,1,42
abrupt,5000,error_threshold,0.4,100,20,10,1,0.7354,0.7104,0.7604,0.04999999999999993,13,0.65,13,0,123
abrupt,5000,error_threshold,0.4,100,20,10,1,0.8038,0.8202,0.7874,-0.03280000000000005,3,0.15,0,3,456
abrupt,5000,error_threshold,0.4,100,20,10,1,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,error_threshold,0.4,100,20,10,1,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.4,100,20,10,1,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,error_threshold,0.4,100,20,10,1,0.7717,0.772,0.7714,-0.0006000000000000449,0,0.0,0,0,1415
abrupt,5000,error_threshold,0.4,100,20,10,1,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,error_threshold,0.4,100,20,10,1,0.7471,0.79,0.7042,-0.08579999999999999,20,1.0,0,20,1819
abrupt,5000,error_threshold,0.4,100,20,10,1,0.7448,0.7966,0.693,-0.10360000000000003,20,1.0,0,20,2021
