drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,error_threshold,0.27,200,5,2,1,0.7527,0.7706,0.7348,-0.03579999999999994,5,1.0,5,0,42
abrupt,5000,error_threshold,0.27,200,5,2,1,0.7348,0.7076,0.762,0.054400000000000004,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,2,1,0.8032,0.8202,0.7862,-0.03400000000000003,5,1.0,0,5,456
abrupt,5000,error_threshold,0.27,200,5,2,1,0.8138,0.788,0.8396,0.05159999999999998,5,1.0,5,0,789
abrupt,5000,error_threshold,0.27,200,5,2,1,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.27,200,5,2,1,0.7608,0.72,0.8016,0.0816,5,1.0,5,0,1213
abrupt,5000,error_threshold,0.27,200,5,2,1,0.7724,0.7728,0.772,-0.0008000000000000229,5,1.0,5,0,1415
abrupt,5000,error_threshold,0.27,200,5,2,1,0.8031,0.7806,0.8256,0.04500000000000004,5,1.0,5,0,1617
abrupt,5000,error_threshold,0.27,200,5,2,1,0.7483,0.7864,0.7102,-0.07619999999999993,5,1.0,5,0,1819
abrupt,5000,error_threshold,0.27,200,5,2,1,0.7475,0.7964,0.6986,-0.0978,5,1.0,5,0,2021
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.7535,0.7738,0.7332,-0.04060000000000008,4,0.8,2,2,42
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.7362,0.7132,0.7592,0.04600000000000004,5,1.0,3,2,123
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.806,0.8202,0.7918,-0.028400000000000092,2,0.4,0,2,456
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.8146,0.794,0.8352,0.041200000000000014,1,0.2,1,0,789
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.7573,0.7198,0.7948,0.07499999999999996,4,0.8,3,1,1213
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.7715,0.7754,0.7676,-0.007800000000000029,4,0.8,2,2,1415
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.8021,0.7784,0.8258,0.0474,2,0.4,2,0,1617
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.7476,0.7874,0.7078,-0.0796,4,0.8,2,2,1819
abrupt,5000,error_threshold,0.27,200,5,2000,50,0.7473,0.797,0.6976,-0.09940000000000004,4,0.8,2,2,2021
abrupt,5000,error_threshold,0.27,200,10,2,1,0.7514,0.7706,0.7322,-0.03839999999999999,10,1.0,10,0,42
abrupt,5000,error_threshold,0.27,200,10,2,1,0.7381,0.7118,0.7644,0.05259999999999998,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,2,1,0.8042,0.8202,0.7882,-0.03200000000000003,10,1.0,0,10,456
abrupt,5000,error_threshold,0.27,200,10,2,1,0.8138,0.7884,0.8392,0.050799999999999956,10,1.0,10,0,789
abrupt,5000,error_threshold,0.27,200,10,2,1,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.27,200,10,2,1,0.7616,0.722,0.8012,0.07920000000000005,10,1.0,10,0,1213
abrupt,5000,error_threshold,0.27,200,10,2,1,0.7718,0.7706,0.773,0.0024000000000000687,10,1.0,10,0,1415
abrupt,5000,error_threshold,0.27,200,10,2,1,0.802,0.7772,0.8268,0.04959999999999998,10,1.0,10,0,1617
abrupt,5000,error_threshold,0.27,200,10,2,1,0.747,0.7822,0.7118,-0.07040000000000002,10,1.0,10,0,1819
abrupt,5000,error_threshold,0.27,200,10,2,1,0.749,0.7998,0.6982,-0.10159999999999991,10,1.0,10,0,2021
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.7513,0.776,0.7266,-0.0494,5,0.5,3,2,42
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.7347,0.7128,0.7566,0.04380000000000006,5,0.5,3,2,123
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.803,0.8202,0.7858,-0.034399999999999986,2,0.2,0,2,456
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.8141,0.7912,0.837,0.04579999999999995,1,0.1,1,0,789
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.7586,0.7196,0.7976,0.07799999999999996,4,0.4,3,1,1213
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.7693,0.7732,0.7654,-0.007800000000000029,4,0.4,2,2,1415
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.8045,0.7808,0.8282,0.0474,2,0.2,2,0,1617
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.7525,0.7884,0.7166,-0.07179999999999997,4,0.4,2,2,1819
abrupt,5000,error_threshold,0.27,200,10,2000,50,0.7478,0.8018,0.6938,-0.10799999999999998,4,0.4,2,2,2021
abrupt,5000,error_threshold,0.27,200,20,2,1,0.7529,0.7696,0.7362,-0.033399999999999985,20,1.0,20,0,42
abrupt,5000,error_threshold,0.27,200,20,2,1,0.738,0.7122,0.7638,0.05159999999999998,20,1.0,20,0,123
abrupt,5000,error_threshold,0.27,200,20,2,1,0.8012,0.8202,0.7822,-0.038000000000000034,20,1.0,0,20,456
abrupt,5000,error_threshold,0.27,200,20,2,1,0.8138,0.7898,0.8378,0.04800000000000004,20,1.0,20,0,789
abrupt,5000,error_threshold,0.27,200,20,2,1,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.27,200,20,2,1,0.7634,0.723,0.8038,0.08079999999999998,20,1.0,20,0,1213
abrupt,5000,error_threshold,0.27,200,20,2,1,0.7695,0.7726,0.7664,-0.006199999999999983,20,1.0,20,0,1415
abrupt,5000,error_threshold,0.27,200,20,2,1,0.8004,0.772,0.8288,0.05679999999999996,20,1.0,20,0,1617
abrupt,5000,error_threshold,0.27,200,20,2,1,0.7488,0.7826,0.715,-0.0676,20,1.0,20,0,1819
abrupt,5000,error_threshold,0.27,200,20,2,1,0.7479,0.7966,0.6992,-0.09739999999999993,20,1.0,20,0,2021
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.7535,0.7718,0.7352,-0.03660000000000008,5,0.25,3,2,42
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.7361,0.7088,0.7634,0.05459999999999998,5,0.25,3,2,123
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.8051,0.8202,0.79,-0.030200000000000005,2,0.1,0,2,456
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.8162,0.7944,0.838,0.04359999999999997,1,0.05,1,0,789
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.759,0.7212,0.7968,0.0756,4,0.2,3,1,1213
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.7686,0.7684,0.7688,0.00040000000000006697,4,0.2,2,2,1415
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.8036,0.7788,0.8284,0.04959999999999998,2,0.1,2,0,1617
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.7456,0.7814,0.7098,-0.0716,4,0.2,2,2,1819
abrupt,5000,error_threshold,0.27,200,20,2000,50,0.7486,0.801,0.6962,-0.1048,4,0.2,2,2,2021
gradual,5000,error_threshold,0.27,200,5,2,1,0.752,0.7728,0.7312,-0.04160000000000008,5,1.0,5,0,42
gradual,5000,error_threshold,0.27,200,5,2,1,0.7352,0.711,0.7594,0.0484,5,1.0,5,0,123
gradual,5000,error_threshold,0.27,200,5,2,1,0.7997,0.8202,0.7792,-0.041000000000000036,5,1.0,0,5,456
gradual,5000,error_threshold,0.27,200,5,2,1,0.8065,0.788,0.825,0.03699999999999992,5,1.0,5,0,789
gradual,5000,error_threshold,0.27,200,5,2,1,0.8243,0.8108,0.8378,0.027000000000000024,0,0.0,0,0,1011
gradual,5000,error_threshold,0.27,200,5,2,1,0.7561,0.7204,0.7918,0.07139999999999991,5,1.0,5,0,1213
gradual,5000,error_threshold,0.27,200,5,2,1,0.7702,0.7688,0.7716,0.0027999999999999137,5,1.0,5,0,1415
gradual,5000,error_threshold,0.27,200,5,2,1,0.7948,0.7768,0.8128,0.03599999999999992,5,1.0,5,0,1617
gradual,5000,error_threshold,0.27,200,5,2,1,0.745,0.7848,0.7052,-0.0796,5,1.0,5,0,1819
gradual,5000,error_threshold,0.27,200,5,2,1,0.7546,0.7986,0.7106,-0.08799999999999997,5,1.0,5,0,2021
gradual,5000,error_threshold,0.27,200,5,2000,50,0.7505,0.7768,0.7242,-0.05260000000000009,5,1.0,3,2,42
gradual,5000,error_threshold,0.27,200,5,2000,50,0.7292,0.711,0.7474,0.03639999999999999,5,1.0,3,2,123
gradual,5000,error_threshold,0.27,200,5,2000,50,0.8028,0.8202,0.7854,-0.03480000000000005,2,0.4,0,2,456
gradual,5000,error_threshold,0.27,200,5,2000,50,0.8082,0.7904,0.826,0.035599999999999965,2,0.4,1,1,789
gradual,5000,error_threshold,0.27,200,5,2000,50,0.8243,0.8108,0.8378,0.027000000000000024,0,0.0,0,0,1011
gradual,5000,error_threshold,0.27,200,5,2000,50,0.7583,0.7254,0.7912,0.06579999999999997,3,0.6,3,0,1213
gradual,5000,error_threshold,0.27,200,5,2000,50,0.7701,0.7736,0.7666,-0.007000000000000006,4,0.8,2,2,1415
