drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,no_retrain,,,0,0,0,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,no_retrain,,,0,0,0,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,no_retrain,,,0,0,0,0.8062,0.8202,0.7922,-0.028000000000000025,0,0.0,0,0,456
abrupt,5000,no_retrain,,,0,0,0,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,no_retrain,,,0,0,0,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,no_retrain,,,0,0,0,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,no_retrain,,,0,0,0,0.7717,0.772,0.7714,-0.0006000000000000449,0,0.0,0,0,1415
abrupt,5000,no_retrain,,,0,0,0,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,no_retrain,,,0,0,0,0.751,0.79,0.712,-0.07800000000000007,0,0.0,0,0,1819
abrupt,5000,no_retrain,,,0,0,0,0.7477,0.7966,0.6988,-0.0978,0,0.0,0,0,2021
gradual,5000,no_retrain,,,0,0,0,0.7503,0.7732,0.7274,-0.04579999999999995,0,0.0,0,0,42
gradual,5000,no_retrain,,,0,0,0,0.7361,0.714,0.7582,0.04420000000000002,0,0.0,0,0,123
gradual,5000,no_retrain,,,0,0,0,0.8036,0.8202,0.787,-0.03320000000000001,0,0.0,0,0,456
gradual,5000,no_retrain,,,0,0,0,0.8098,0.7942,0.8254,0.031200000000000006,0,0.0,0,0,789
gradual,5000,no_retrain,,,0,0,0,0.8243,0.8108,0.8378,0.027000000000000024,0,0.0,0,0,1011
gradual,5000,no_retrain,,,0,0,0,0.7549,0.7206,0.7892,0.0686,0,0.0,0,0,1213
gradual,5000,no_retrain,,,0,0,0,0.7728,0.772,0.7736,0.0015999999999999348,0,0.0,0,0,1415
gradual,5000,no_retrain,,,0,0,0,0.7981,0.7828,0.8134,0.03059999999999996,0,0.0,0,0,1617
gradual,5000,no_retrain,,,0,0,0,0.7489,0.79,0.7078,-0.08220000000000005,0,0.0,0,0,1819
gradual,5000,no_retrain,,,0,0,0,0.7538,0.7966,0.711,-0.08560000000000001,0,0.0,0,0,2021
recurring,5000,no_retrain,,,0,0,0,0.76,0.7732,0.7468,-0.02639999999999998,0,0.0,0,0,42
recurring,5000,no_retrain,,,0,0,0,0.7259,0.714,0.7378,0.023800000000000043,0,0.0,0,0,123
recurring,5000,no_retrain,,,0,0,0,0.8071,0.8202,0.794,-0.0262,0,0.0,0,0,456
recurring,5000,no_retrain,,,0,0,0,0.7965,0.7942,0.7988,0.0045999999999999375,0,0.0,0,0,789
recurring,5000,no_retrain,,,0,0,0,0.8189,0.8108,0.827,0.016199999999999992,0,0.0,0,0,1011
recurring,5000,no_retrain,,,0,0,0,0.7417,0.7206,0.7628,0.042200000000000015,0,0.0,0,0,1213
recurring,5000,no_retrain,,,0,0,0,0.7693,0.772,0.7666,-0.005400000000000071,0,0.0,0,0,1415
recurring,5000,no_retrain,,,0,0,0,0.7862,0.7828,0.7896,0.006799999999999917,0,0.0,0,0,1617
recurring,5000,no_retrain,,,0,0,0,0.7644,0.79,0.7388,-0.05120000000000002,0,0.0,0,0,1819
recurring,5000,no_retrain,,,0,0,0,0.7657,0.7966,0.7348,-0.061799999999999966,0,0.0,0,0,2021
