drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,periodic,,,5,10,1,0.7512,0.7746,0.7278,-0.04679999999999995,5,1.0,5,0,42
abrupt,5000,periodic,,,5,10,1,0.7396,0.7172,0.762,0.04480000000000006,5,1.0,5,0,123
abrupt,5000,periodic,,,5,10,1,0.8059,0.8222,0.7896,-0.03260000000000007,5,1.0,5,0,456
abrupt,5000,periodic,,,5,10,1,0.8123,0.7878,0.8368,0.049000000000000044,5,1.0,5,0,789
abrupt,5000,periodic,,,5,10,1,0.8229,0.8108,0.835,0.0242,5,1.0,5,0,1011
abrupt,5000,periodic,,,5,10,1,0.7631,0.7242,0.802,0.07780000000000009,5,1.0,5,0,1213
abrupt,5000,periodic,,,5,10,1,0.7688,0.7728,0.7648,-0.008000000000000007,5,1.0,5,0,1415
abrupt,5000,periodic,,,5,10,1,0.8027,0.7798,0.8256,0.04579999999999995,5,1.0,5,0,1617
abrupt,5000,periodic,,,5,10,1,0.7472,0.7816,0.7128,-0.06879999999999997,5,1.0,5,0,1819
abrupt,5000,periodic,,,5,10,1,0.7488,0.8006,0.697,-0.10360000000000003,5,1.0,5,0,2021
abrupt,5000,periodic,,,5,100,5,0.7522,0.7722,0.7322,-0.040000000000000036,5,1.0,5,0,42
abrupt,5000,periodic,,,5,100,5,0.7353,0.7114,0.7592,0.047799999999999954,5,1.0,5,0,123
abrupt,5000,periodic,,,5,100,5,0.8064,0.818,0.7948,-0.0232,5,1.0,5,0,456
abrupt,5000,periodic,,,5,100,5,0.8132,0.788,0.8384,0.0504,5,1.0,5,0,789
abrupt,5000,periodic,,,5,100,5,0.8215,0.8044,0.8386,0.03420000000000001,5,1.0,5,0,1011
abrupt,5000,periodic,,,5,100,5,0.7606,0.7234,0.7978,0.07439999999999991,5,1.0,5,0,1213
abrupt,5000,periodic,,,5,100,5,0.7719,0.774,0.7698,-0.0041999999999999815,5,1.0,5,0,1415
abrupt,5000,periodic,,,5,100,5,0.8032,0.7764,0.83,0.05359999999999998,5,1.0,5,0,1617
abrupt,5000,periodic,,,5,100,5,0.7493,0.789,0.7096,-0.07940000000000003,5,1.0,5,0,1819
abrupt,5000,periodic,,,5,100,5,0.749,0.8,0.698,-0.10200000000000009,5,1.0,5,0,2021
abrupt,5000,periodic,,,5,500,20,0.7523,0.7744,0.7302,-0.04420000000000002,5,1.0,5,0,42
abrupt,5000,periodic,,,5,500,20,0.7407,0.715,0.7664,0.0514,5,1.0,5,0,123
abrupt,5000,periodic,,,5,500,20,0.8045,0.8176,0.7914,-0.0262,5,1.0,5,0,456
abrupt,5000,periodic,,,5,500,20,0.8142,0.7924,0.836,0.04359999999999997,5,1.0,5,0,789
abrupt,5000,periodic,,,5,500,20,0.8239,0.81,0.8378,0.027799999999999936,5,1.0,5,0,1011
abrupt,5000,periodic,,,5,500,20,0.7629,0.7238,0.802,0.07820000000000005,5,1.0,5,0,1213
abrupt,5000,periodic,,,5,500,20,0.7708,0.773,0.7686,-0.0044000000000000705,5,1.0,5,0,1415
abrupt,5000,periodic,,,5,500,20,0.8024,0.7784,0.8264,0.04800000000000004,5,1.0,5,0,1617
abrupt,5000,periodic,,,5,500,20,0.7521,0.789,0.7152,-0.07380000000000009,5,1.0,5,0,1819
abrupt,5000,periodic,,,5,500,20,0.7485,0.8016,0.6954,-0.10619999999999996,5,1.0,5,0,2021
abrupt,5000,periodic,,,10,10,1,0.7515,0.7722,0.7308,-0.04139999999999999,10,1.0,10,0,42
abrupt,5000,periodic,,,10,10,1,0.7356,0.7152,0.756,0.04080000000000006,10,1.0,10,0,123
abrupt,5000,periodic,,,10,10,1,0.8034,0.8182,0.7886,-0.02960000000000007,10,1.0,10,0,456
abrupt,5000,periodic,,,10,10,1,0.8114,0.7886,0.8342,0.045600000000000085,10,1.0,10,0,789
abrupt,5000,periodic,,,10,10,1,0.8224,0.8086,0.8362,0.02760000000000007,10,1.0,10,0,1011
abrupt,5000,periodic,,,10,10,1,0.7598,0.724,0.7956,0.0716,10,1.0,10,0,1213
abrupt,5000,periodic,,,10,10,1,0.7728,0.775,0.7706,-0.0044000000000000705,10,1.0,10,0,1415
abrupt,5000,periodic,,,10,10,1,0.8031,0.7804,0.8258,0.045399999999999996,10,1.0,10,0,1617
abrupt,5000,periodic,,,10,10,1,0.7475,0.78,0.715,-0.06500000000000006,10,1.0,10,0,1819
abrupt,5000,periodic,,,10,10,1,0.747,0.7942,0.6998,-0.09440000000000004,10,1.0,10,0,2021
abrupt,5000,periodic,,,10,100,5,0.7555,0.7778,0.7332,-0.044600000000000084,10,1.0,10,0,42
abrupt,5000,periodic,,,10,100,5,0.7391,0.7118,0.7664,0.05459999999999998,10,1.0,10,0,123
abrupt,5000,periodic,,,10,100,5,0.8061,0.8202,0.792,-0.028200000000000003,10,1.0,10,0,456
abrupt,5000,periodic,,,10,100,5,0.8116,0.7872,0.836,0.048799999999999955,10,1.0,10,0,789
abrupt,5000,periodic,,,10,100,5,0.8205,0.8048,0.8362,0.031400000000000095,10,1.0,10,0,1011
abrupt,5000,periodic,,,10,100,5,0.7598,0.7214,0.7982,0.07679999999999998,10,1.0,10,0,1213
abrupt,5000,periodic,,,10,100,5,0.7707,0.7696,0.7718,0.0022000000000000908,10,1.0,10,0,1415
abrupt,5000,periodic,,,10,100,5,0.8011,0.7766,0.8256,0.049000000000000044,10,1.0,10,0,1617
abrupt,5000,periodic,,,10,100,5,0.7509,0.79,0.7118,-0.07820000000000005,10,1.0,10,0,1819
abrupt,5000,periodic,,,10,100,5,0.7448,0.7924,0.6972,-0.09519999999999995,10,1.0,10,0,2021
abrupt,5000,periodic,,,10,500,20,0.7515,0.7726,0.7304,-0.042199999999999904,10,1.0,5,5,42
abrupt,5000,periodic,,,10,500,20,0.736,0.7136,0.7584,0.04479999999999995,10,1.0,5,5,123
abrupt,5000,periodic,,,10,500,20,0.8066,0.8228,0.7904,-0.032399999999999984,10,1.0,5,5,456
abrupt,5000,periodic,,,10,500,20,0.8138,0.795,0.8326,0.03759999999999997,10,1.0,5,5,789
abrupt,5000,periodic,,,10,500,20,0.8227,0.8094,0.836,0.026599999999999957,10,1.0,5,5,1011
abrupt,5000,periodic,,,10,500,20,0.7641,0.7318,0.7964,0.06459999999999999,10,1.0,5,5,1213
abrupt,5000,periodic,,,10,500,20,0.7732,0.7762,0.7702,-0.006000000000000005,10,1.0,5,5,1415
abrupt,5000,periodic,,,10,500,20,0.8017,0.779,0.8244,0.045399999999999996,10,1.0,5,5,1617
abrupt,5000,periodic,,,10,500,20,0.7504,0.7912,0.7096,-0.0816,10,1.0,5,5,1819
abrupt,5000,periodic,,,10,500,20,0.7431,0.797,0.6892,-0.1078,10,1.0,5,5,2021
abrupt,5000,periodic,,,20,10,1,0.7529,0.775,0.7308,-0.04420000000000002,20,1.0,10,10,42
abrupt,5000,periodic,,,20,10,1,0.7363,0.7084,0.7642,0.05579999999999996,20,1.0,10,10,123
abrupt,5000,periodic,,,20,10,1,0.8024,0.8166,0.7882,-0.02839999999999998,20,1.0,10,10,456
abrupt,5000,periodic,,,20,10,1,0.8115,0.7908,0.8322,0.0414000000000001,20,1.0,10,10,789
abrupt,5000,periodic,,,20,10,1,0.8178,0.804,0.8316,0.027599999999999958,20,1.0,10,10,1011
abrupt,5000,periodic,,,20,10,1,0.7613,0.7216,0.801,0.07940000000000003,20,1.0,10,10,1213
abrupt,5000,periodic,,,20,10,1,0.7709,0.774,0.7678,-0.006199999999999983,20,1.0,10,10,1415
abrupt,5000,periodic,,,20,10,1,0.8001,0.7804,0.8198,0.03939999999999999,20,1.0,10,10,1617
abrupt,5000,periodic,,,20,10,1,0.747,0.7864,0.7076,-0.07879999999999998,20,1.0,10,10,1819
abrupt,5000,periodic,,,20,10,1,0.7476,0.7942,0.701,-0.09320000000000006,20,1.0,10,10,2021
abrupt,5000,periodic,,,20,100,5,0.7517,0.777,0.7264,-0.05059999999999998,20,1.0,10,10,42
abrupt,5000,periodic,,,20,100,5,0.7394,0.713,0.7658,0.05280000000000007,20,1.0,10,10,123
abrupt,5000,periodic,,,20,100,5,0.8065,0.8238,0.7892,-0.034599999999999964,20,1.0,10,10,456
abrupt,5000,periodic,,,20,100,5,0.807,0.7864,0.8276,0.041200000000000014,20,1.0,10,10,789
abrupt,5000,periodic,,,20,100,5,0.8192,0.8028,0.8356,0.03280000000000005,20,1.0,10,10,1011
abrupt,5000,periodic,,,20,100,5,0.7617,0.7268,0.7966,0.06979999999999997,20,1.0,10,10,1213
abrupt,5000,periodic,,,20,100,5,0.7719,0.778,0.7658,-0.012199999999999989,20,1.0,10,10,1415
abrupt,5000,periodic,,,20,100,5,0.8011,0.7786,0.8236,0.04500000000000004,20,1.0,10,10,1617
abrupt,5000,periodic,,,20,100,5,0.7504,0.79,0.7108,-0.07920000000000005,20,1.0,10,10,1819
abrupt,5000,periodic,,,20,100,5,0.7421,0.7938,0.6904,-0.10339999999999994,20,1.0,10,10,2021
abrupt,5000,periodic,,,20,500,20,0.7477,0.7748,0.7206,-0.054200000000000026,10,0.5,5,5,42
abrupt,5000,periodic,,,20,500,20,0.7399,0.7158,0.764,0.04820000000000002,10,0.5,5,5,123
abrupt,5000,periodic,,,20,500,20,0.8041,0.8216,0.7866,-0.03500000000000003,10,0.5,5,5,456
abrupt,5000,periodic,,,20,500,20,0.8148,0.7944,0.8352,0.04080000000000006,10,0.5,5,5,789
abrupt,5000,periodic,,,20,500,20,0.8201,0.8038,0.8364,0.03260000000000007,10,0.5,5,5,1011
abrupt,5000,periodic,,,20,500,20,0.7624,0.7232,0.8016,0.07840000000000003,10,0.5,5,5,1213
abrupt,5000,periodic,,,20,500,20,0.7699,0.7734,0.7664,-0.007000000000000006,10,0.5,5,5,1415
abrupt,5000,periodic,,,20,500,20,0.8017,0.7772,0.8262,0.049000000000000044,10,0.5,5,5,1617
abrupt,5000,periodic,,,20,500,20,0.7528,0.7876,0.718,-0.0696,10,0.5,5,5,1819
abrupt,5000,periodic,,,20,500,20,0.7498,0.8012,0.6984,-0.1028,10,0.5,5,5,2021
gradual,5000,periodic,,,5,10,1,0.7506,0.7728,0.7284,-0.044399999999999995,5,1.0,5,0,42
gradual,5000,periodic,,,5,10,1,0.7332,0.7132,0.7532,0.040000000000000036,5,1.0,5,0,123
gradual,5000,periodic,,,5,10,1,0.8033,0.8194,0.7872,-0.032200000000000006,5,1.0,5,0,456
gradual,5000,periodic,,,5,10,1,0.8076,0.7892,0.826,0.036799999999999944,5,1.0,5,0,789
gradual,5000,periodic,,,5,10,1,0.8248,0.8104,0.8392,0.028799999999999937,5,1.0,5,0,1011
gradual,5000,periodic,,,5,10,1,0.7543,0.7238,0.7848,0.061000000000000054,5,1.0,5,0,1213
gradual,5000,periodic,,,5,10,1,0.7714,0.7708,0.772,0.0011999999999999789,5,1.0,5,0,1415
gradual,5000,periodic,,,5,10,1,0.7928,0.7748,0.8108,0.03599999999999992,5,1.0,5,0,1617
gradual,5000,periodic,,,5,10,1,0.7511,0.7916,0.7106,-0.08099999999999996,5,1.0,5,0,1819
gradual,5000,periodic,,,5,10,1,0.7505,0.798,0.703,-0.09500000000000008,5,1.0,5,0,2021
gradual,5000,periodic,,,5,100,5,0.7505,0.7742,0.7268,-0.0474,5,1.0,5,0,42
gradual,5000,periodic,,,5,100,5,0.7342,0.7136,0.7548,0.041200000000000014,5,1.0,5,0,123
gradual,5000,periodic,,,5,100,5,0.8057,0.823,0.7884,-0.034599999999999964,5,1.0,5,0,456
gradual,5000,periodic,,,5,100,5,0.8064,0.7858,0.827,0.0411999999999999,5,1.0,5,0,789
