drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,periodic,,,5,2,1,0.7513,0.7728,0.7298,-0.04300000000000004,5,1.0,3,2,42
abrupt,5000,periodic,,,5,2,1,0.7358,0.7138,0.7578,0.04400000000000004,5,1.0,3,2,123
abrupt,5000,periodic,,,5,2,1,0.8032,0.8184,0.788,-0.030399999999999983,5,1.0,3,2,456
abrupt,5000,periodic,,,5,2,1,0.8149,0.7932,0.8366,0.043399999999999994,5,1.0,3,2,789
abrupt,5000,periodic,,,5,2,1,0.8223,0.812,0.8326,0.02059999999999995,5,1.0,3,2,1011
abrupt,5000,periodic,,,5,2,1,0.7596,0.725,0.7942,0.06920000000000004,5,1.0,3,2,1213
abrupt,5000,periodic,,,5,2,1,0.7671,0.7678,0.7664,-0.0014000000000000679,5,1.0,3,2,1415
abrupt,5000,periodic,,,5,2,1,0.8021,0.7806,0.8236,0.04300000000000004,5,1.0,3,2,1617
abrupt,5000,periodic,,,5,2,1,0.7463,0.7894,0.7032,-0.08619999999999994,5,1.0,3,2,1819
abrupt,5000,periodic,,,5,2,1,0.744,0.7932,0.6948,-0.09840000000000004,5,1.0,3,2,2021
abrupt,5000,periodic,,,5,2000,50,0.7511,0.7698,0.7324,-0.03739999999999999,3,0.6,2,1,42
abrupt,5000,periodic,,,5,2000,50,0.7376,0.7126,0.7626,0.04999999999999993,3,0.6,2,1,123
abrupt,5000,periodic,,,5,2000,50,0.8053,0.8218,0.7888,-0.03300000000000003,3,0.6,2,1,456
abrupt,5000,periodic,,,5,2000,50,0.8149,0.7954,0.8344,0.039000000000000035,3,0.6,2,1,789
abrupt,5000,periodic,,,5,2000,50,0.8242,0.8104,0.838,0.027599999999999958,3,0.6,2,1,1011
abrupt,5000,periodic,,,5,2000,50,0.7603,0.7208,0.7998,0.07899999999999996,3,0.6,2,1,1213
abrupt,5000,periodic,,,5,2000,50,0.7686,0.7708,0.7664,-0.0044000000000000705,3,0.6,2,1,1415
abrupt,5000,periodic,,,5,2000,50,0.8036,0.7824,0.8248,0.04239999999999999,3,0.6,2,1,1617
abrupt,5000,periodic,,,5,2000,50,0.7503,0.789,0.7116,-0.07740000000000002,3,0.6,2,1,1819
abrupt,5000,periodic,,,5,2000,50,0.7504,0.7962,0.7046,-0.09160000000000001,3,0.6,2,1,2021
abrupt,5000,periodic,,,10,2,1,0.7514,0.772,0.7308,-0.041200000000000014,10,1.0,5,5,42
abrupt,5000,periodic,,,10,2,1,0.7383,0.7154,0.7612,0.04579999999999995,10,1.0,5,5,123
abrupt,5000,periodic,,,10,2,1,0.8056,0.8248,0.7864,-0.03839999999999999,10,1.0,5,5,456
abrupt,5000,periodic,,,10,2,1,0.8146,0.7908,0.8384,0.04760000000000009,10,1.0,5,5,789
abrupt,5000,periodic,,,10,2,1,0.8234,0.8104,0.8364,0.026000000000000023,10,1.0,5,5,1011
abrupt,5000,periodic,,,10,2,1,0.7612,0.7234,0.799,0.0756,10,1.0,5,5,1213
abrupt,5000,periodic,,,10,2,1,0.7696,0.7704,0.7688,-0.0015999999999999348,10,1.0,5,5,1415
abrupt,5000,periodic,,,10,2,1,0.8034,0.7798,0.827,0.04719999999999991,10,1.0,5,5,1617
abrupt,5000,periodic,,,10,2,1,0.7509,0.7892,0.7126,-0.0766,10,1.0,5,5,1819
abrupt,5000,periodic,,,10,2,1,0.7469,0.7994,0.6944,-0.10499999999999998,10,1.0,5,5,2021
abrupt,5000,periodic,,,10,2000,50,0.7502,0.7712,0.7292,-0.04200000000000004,4,0.4,2,2,42
abrupt,5000,periodic,,,10,2000,50,0.7352,0.711,0.7594,0.0484,4,0.4,2,2,123
abrupt,5000,periodic,,,10,2000,50,0.8079,0.8222,0.7936,-0.02860000000000007,4,0.4,2,2,456
abrupt,5000,periodic,,,10,2000,50,0.8144,0.7904,0.8384,0.04800000000000004,4,0.4,2,2,789
abrupt,5000,periodic,,,10,2000,50,0.8241,0.8092,0.839,0.029799999999999938,4,0.4,2,2,1011
abrupt,5000,periodic,,,10,2000,50,0.7603,0.7222,0.7984,0.07620000000000005,4,0.4,2,2,1213
abrupt,5000,periodic,,,10,2000,50,0.7666,0.767,0.7662,-0.0008000000000000229,4,0.4,2,2,1415
abrupt,5000,periodic,,,10,2000,50,0.8029,0.7806,0.8252,0.044600000000000084,4,0.4,2,2,1617
abrupt,5000,periodic,,,10,2000,50,0.7488,0.7886,0.709,-0.0796,4,0.4,2,2,1819
