dataset,policy_type,drift_type,post_drift_acc_with_partial_fit,post_drift_acc_without_partial_fit,delta
lendingclub,periodic,abrupt,0.6933792592592594,0.6960962962962962,-0.0027170370370368513
lendingclub,periodic,gradual,0.6974207407407407,0.7039496296296297,-0.006528888888889028
lendingclub,periodic,recurring,0.714754074074074,0.7113244444444445,0.0034296296296294493
lendingclub,error_threshold,abrupt,0.7038237037037037,0.6651703703703704,0.03865333333333332
lendingclub,error_threshold,gradual,0.7081348148148149,0.6707525925925927,0.037382222222222206
lendingclub,error_threshold,recurring,0.7279422222222223,0.6650177777777778,0.06292444444444445
lendingclub,drift_triggered,abrupt,0.6959540740740741,0.6905303703703703,0.005423703703703708
lendingclub,drift_triggered,gradual,0.6993644444444445,0.6946651851851853,0.004699259259259181
lendingclub,drift_triggered,recurring,0.7179985185185186,0.691877037037037,0.026121481481481634
lendingclub,no_retrain,abrupt,0.7046533333333334,0.48666666666666664,0.21798666666666672
lendingclub,no_retrain,gradual,0.7098666666666666,0.48816,0.22170666666666666
lendingclub,no_retrain,recurring,0.72964,0.4931733333333333,0.23646666666666666
