dataset,policy_type,drift_type,post_drift_acc_with_partial_fit,post_drift_acc_without_partial_fit,delta
luflow,periodic,abrupt,0.9526562962962963,0.8836296296296297,0.06902666666666668
luflow,periodic,gradual,0.9520414814814815,0.9009392592592592,0.05110222222222227
luflow,periodic,recurring,0.9675259259259259,0.7478237037037038,0.21970222222222213
luflow,error_threshold,abrupt,0.9576355555555556,0.779557037037037,0.17807851851851852
luflow,error_threshold,gradual,0.9562266666666667,0.770511111111111,0.18571555555555563
luflow,error_threshold,recurring,0.9707955555555555,0.7240548148148148,0.2467407407407407
luflow,drift_triggered,abrupt,0.9573185185185186,0.61808,0.3392385185185186
luflow,drift_triggered,gradual,0.9552,0.7657822222222223,0.1894177777777778
luflow,drift_triggered,recurring,0.9693629629629629,0.7511333333333333,0.21822962962962955
luflow,no_retrain,abrupt,0.95628,0.25336,0.70292
luflow,no_retrain,gradual,0.9552,0.26888,0.68632
luflow,no_retrain,recurring,0.96904,0.33782666666666666,0.6312133333333334
