dataset,policy_type,drift_type,post_drift_acc_with_partial_fit,post_drift_acc_without_partial_fit,delta
synthetic,periodic,abrupt,0.7753244444444445,0.7033533333333334,0.0719711111111111
synthetic,periodic,gradual,0.7699822222222222,0.7116666666666667,0.058315555555555565
synthetic,periodic,recurring,0.7677866666666667,0.5601422222222222,0.20764444444444452
synthetic,error_threshold,abrupt,0.7763733333333332,0.6176866666666666,0.15868666666666664
synthetic,error_threshold,gradual,0.7722200000000001,0.6135022222222223,0.15871777777777785
synthetic,error_threshold,recurring,0.76776,0.6014977777777778,0.1662622222222222
synthetic,drift_triggered,abrupt,0.77684,0.6136377777777778,0.16320222222222214
synthetic,drift_triggered,gradual,0.7717177777777777,0.5518866666666666,0.2198311111111111
synthetic,drift_triggered,recurring,0.7669888888888888,0.5783733333333334,0.18861555555555543
synthetic,no_retrain,abrupt,0.7779,0.48948,0.28842
synthetic,no_retrain,gradual,0.77308,0.5005,0.27258000000000004
synthetic,no_retrain,recurring,0.7697,0.5246999999999999,0.2450000000000001
