dataset,policy_type,mean_post_drift_with,mean_post_drift_without,delta
synthetic,periodic,0.7710311111111111,0.6583874074074073,0.1126437037037038
synthetic,error_threshold,0.7721177777777777,0.6108955555555555,0.16122222222222216
synthetic,drift_triggered,0.7718488888888889,0.5812992592592593,0.19054962962962962
synthetic,no_retrain,0.77356,0.5048933333333333,0.2686666666666667
luflow,periodic,0.9574079012345679,0.8441308641975309,0.11327703703703695
luflow,error_threshold,0.9615525925925925,0.758040987654321,0.20351160493827147
luflow,drift_triggered,0.9606271604938271,0.7116651851851852,0.24896197530864195
luflow,no_retrain,0.9601733333333333,0.2866888888888889,0.6734844444444444
lendingclub,periodic,0.7018513580246913,0.70379012345679,-0.0019387654320986991
lendingclub,error_threshold,0.7133002469135804,0.6669802469135803,0.04632000000000014
lendingclub,drift_triggered,0.7044390123456791,0.6923575308641976,0.01208148148148147
lendingclub,no_retrain,0.71472,0.48933333333333334,0.22538666666666668
