policy_type,drift_type,mean,std,count
drift_triggered,abrupt,0.77684,0.04941743494359551,90
drift_triggered,gradual,0.7717177777777777,0.04493499819096438,90
drift_triggered,recurring,0.7669888888888888,0.03050463013094433,90
error_threshold,abrupt,0.7763733333333332,0.05005899620571307,90
error_threshold,gradual,0.7722200000000001,0.04502033548010913,90
error_threshold,recurring,0.76776,0.03089816837595334,90
no_retrain,abrupt,0.7779,0.051090007720579686,10
no_retrain,gradual,0.77308,0.04646281189175803,10
no_retrain,recurring,0.7697,0.031426563427916984,10
periodic,abrupt,0.7753244444444445,0.048315997097551314,90
periodic,gradual,0.7699822222222222,0.04417577397445568,90
periodic,recurring,0.7677866666666667,0.030923331070477882,90
