dataset,policy_type,mean_post_drift_accuracy,std_post_drift_accuracy,n_runs
synthetic,periodic,0.7710311111111111,0.04176674379499411,270
synthetic,error_threshold,0.7721177777777777,0.04275464950766085,270
synthetic,drift_triggered,0.7718488888888889,0.04242801884542171,270
synthetic,no_retrain,0.77356,0.042405738063258085,30
luflow,periodic,0.9574079012345679,0.020438351616266014,81
luflow,error_threshold,0.9615525925925925,0.01800844480915673,81
luflow,drift_triggered,0.9606271604938271,0.017727247758363946,81
luflow,no_retrain,0.9601733333333333,0.017087036021498844,9
lendingclub,periodic,0.7018513580246913,0.01982260046973444,81
lendingclub,error_threshold,0.7133002469135804,0.0210030579901659,81
lendingclub,drift_triggered,0.7044390123456791,0.01945701824567027,81
lendingclub,no_retrain,0.71472,0.022308231664567222,9
