drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,error_threshold,0.2,200,5,10,1,0.72844,0.76116,0.69572,-0.06543999999999994,5,1.0,5,0,1
abrupt,25000,error_threshold,0.2,200,5,100,5,0.72936,0.76324,0.69548,-0.06776000000000004,5,1.0,5,0,1
abrupt,25000,error_threshold,0.2,200,5,500,20,0.72716,0.76,0.69432,-0.06567999999999996,5,1.0,5,0,1
abrupt,25000,error_threshold,0.2,200,10,10,1,0.72844,0.76096,0.69592,-0.06503999999999999,10,1.0,10,0,1
abrupt,25000,error_threshold,0.2,200,10,100,5,0.72814,0.76124,0.69504,-0.06620000000000004,10,1.0,10,0,1
abrupt,25000,error_threshold,0.2,200,10,500,20,0.72738,0.761,0.69376,-0.06723999999999997,10,1.0,10,0,1
abrupt,25000,error_threshold,0.2,200,20,10,1,0.72778,0.76,0.69556,-0.06444000000000005,20,1.0,20,0,1
abrupt,25000,error_threshold,0.2,200,20,100,5,0.72684,0.75952,0.69416,-0.06535999999999997,20,1.0,20,0,1
abrupt,25000,error_threshold,0.2,200,20,500,20,0.7266,0.761,0.6922,-0.06879999999999997,20,1.0,20,0,1
gradual,25000,error_threshold,0.2,200,5,10,1,0.73312,0.76256,0.70368,-0.05888000000000004,5,1.0,5,0,1
gradual,25000,error_threshold,0.2,200,5,100,5,0.73184,0.76052,0.70316,-0.05735999999999997,5,1.0,5,0,1
gradual,25000,error_threshold,0.2,200,5,500,20,0.7315,0.76044,0.70256,-0.05788000000000004,5,1.0,5,0,1
gradual,25000,error_threshold,0.2,200,10,10,1,0.73236,0.7612,0.70352,-0.057679999999999954,10,1.0,10,0,1
gradual,25000,error_threshold,0.2,200,10,100,5,0.7315,0.75976,0.70324,-0.056520000000000015,10,1.0,10,0,1
gradual,25000,error_threshold,0.2,200,10,500,20,0.73064,0.75928,0.702,-0.05728,10,1.0,10,0,1
gradual,25000,error_threshold,0.2,200,20,10,1,0.73128,0.75936,0.7032,-0.05615999999999999,20,1.0,20,0,1
gradual,25000,error_threshold,0.2,200,20,100,5,0.73184,0.76116,0.70252,-0.058639999999999914,20,1.0,20,0,1
gradual,25000,error_threshold,0.2,200,20,500,20,0.73034,0.76144,0.69924,-0.06220000000000003,20,1.0,20,0,1
recurring,25000,error_threshold,0.2,200,5,10,1,0.74752,0.76344,0.7316,-0.03183999999999998,5,1.0,5,0,1
recurring,25000,error_threshold,0.2,200,5,100,5,0.74684,0.76212,0.73156,-0.03056000000000003,5,1.0,5,0,1
recurring,25000,error_threshold,0.2,200,5,500,20,0.74636,0.76176,0.73096,-0.03079999999999994,5,1.0,5,0,1
recurring,25000,error_threshold,0.2,200,10,10,1,0.74604,0.76056,0.73152,-0.029040000000000066,10,1.0,10,0,1
recurring,25000,error_threshold,0.2,200,10,100,5,0.74586,0.76104,0.73068,-0.030360000000000054,10,1.0,10,0,1
recurring,25000,error_threshold,0.2,200,10,500,20,0.74536,0.76196,0.72876,-0.03320000000000001,10,1.0,10,0,1
recurring,25000,error_threshold,0.2,200,20,10,1,0.7469,0.7624,0.7314,-0.030999999999999917,20,1.0,20,0,1
recurring,25000,error_threshold,0.2,200,20,100,5,0.74526,0.7596,0.73092,-0.02868000000000004,20,1.0,20,0,1
recurring,25000,error_threshold,0.2,200,20,500,20,0.74224,0.759,0.72548,-0.033519999999999994,20,1.0,20,0,1
abrupt,25000,error_threshold,0.2,200,5,10,1,0.70566,0.72336,0.68796,-0.03539999999999999,5,1.0,5,0,2
abrupt,25000,error_threshold,0.2,200,5,100,5,0.7064,0.72464,0.68816,-0.03647999999999996,5,1.0,5,0,2
abrupt,25000,error_threshold,0.2,200,5,500,20,0.70498,0.72256,0.6874,-0.03515999999999997,5,1.0,5,0,2
abrupt,25000,error_threshold,0.2,200,10,10,1,0.70596,0.724,0.68792,-0.03608,10,1.0,10,0,2
abrupt,25000,error_threshold,0.2,200,10,100,5,0.70622,0.7246,0.68784,-0.036760000000000015,10,1.0,10,0,2
abrupt,25000,error_threshold,0.2,200,10,500,20,0.7046,0.72352,0.68568,-0.037840000000000096,10,1.0,10,0,2
abrupt,25000,error_threshold,0.2,200,20,10,1,0.70578,0.72332,0.68824,-0.03508,20,1.0,20,0,2
abrupt,25000,error_threshold,0.2,200,20,100,5,0.70522,0.72316,0.68728,-0.03588000000000002,20,1.0,20,0,2
abrupt,25000,error_threshold,0.2,200,20,500,20,0.70398,0.72316,0.6848,-0.03836000000000006,20,1.0,20,0,2
gradual,25000,error_threshold,0.2,200,5,10,1,0.7067,0.72304,0.69036,-0.03268000000000004,5,1.0,5,0,2
gradual,25000,error_threshold,0.2,200,5,100,5,0.70796,0.7254,0.69052,-0.03488000000000002,5,1.0,5,0,2
gradual,25000,error_threshold,0.2,200,5,500,20,0.70776,0.7254,0.69012,-0.03528000000000009,5,1.0,5,0,2
gradual,25000,error_threshold,0.2,200,10,10,1,0.70704,0.7226,0.69148,-0.031120000000000037,10,1.0,10,0,2
gradual,25000,error_threshold,0.2,200,10,100,5,0.70688,0.72244,0.69132,-0.031119999999999925,10,1.0,10,0,2
gradual,25000,error_threshold,0.2,200,10,500,20,0.70542,0.72248,0.68836,-0.03412000000000004,10,1.0,10,0,2
gradual,25000,error_threshold,0.2,200,20,10,1,0.70678,0.72272,0.69084,-0.03188000000000002,20,1.0,20,0,2
gradual,25000,error_threshold,0.2,200,20,100,5,0.70654,0.72288,0.6902,-0.03267999999999993,20,1.0,20,0,2
gradual,25000,error_threshold,0.2,200,20,500,20,0.70556,0.72336,0.68776,-0.035599999999999965,20,1.0,20,0,2
recurring,25000,error_threshold,0.2,200,5,10,1,0.71488,0.72344,0.70632,-0.017120000000000024,5,1.0,5,0,2
recurring,25000,error_threshold,0.2,200,5,100,5,0.7139,0.7222,0.7056,-0.016599999999999948,5,1.0,5,0,2
recurring,25000,error_threshold,0.2,200,5,500,20,0.71464,0.7248,0.70448,-0.020320000000000005,5,1.0,5,0,2
recurring,25000,error_threshold,0.2,200,10,10,1,0.71532,0.72488,0.70576,-0.019119999999999915,10,1.0,10,0,2
recurring,25000,error_threshold,0.2,200,10,100,5,0.71562,0.72576,0.70548,-0.020279999999999965,10,1.0,10,0,2
recurring,25000,error_threshold,0.2,200,10,500,20,0.71262,0.72128,0.70396,-0.017320000000000002,10,1.0,10,0,2
recurring,25000,error_threshold,0.2,200,20,10,1,0.71418,0.72268,0.70568,-0.017000000000000015,20,1.0,20,0,2
recurring,25000,error_threshold,0.2,200,20,100,5,0.71364,0.72188,0.7054,-0.01647999999999994,20,1.0,20,0,2
recurring,25000,error_threshold,0.2,200,20,500,20,0.71212,0.7238,0.70044,-0.023360000000000047,20,1.0,20,0,2
abrupt,25000,error_threshold,0.2,200,5,10,1,0.74684,0.76248,0.7312,-0.031280000000000086,5,1.0,5,0,3
abrupt,25000,error_threshold,0.2,200,5,100,5,0.74698,0.76316,0.7308,-0.032359999999999944,5,1.0,5,0,3
abrupt,25000,error_threshold,0.2,200,5,500,20,0.74642,0.76244,0.7304,-0.03203999999999996,5,1.0,5,0,3
abrupt,25000,error_threshold,0.2,200,10,10,1,0.74684,0.76312,0.73056,-0.03256000000000003,10,1.0,10,0,3
abrupt,25000,error_threshold,0.2,200,10,100,5,0.74544,0.7606,0.73028,-0.030320000000000014,10,1.0,10,0,3
abrupt,25000,error_threshold,0.2,200,10,500,20,0.74308,0.75876,0.7274,-0.031359999999999943,10,1.0,10,0,3
abrupt,25000,error_threshold,0.2,200,20,10,1,0.7467,0.76308,0.73032,-0.03276000000000001,20,1.0,20,0,3
abrupt,25000,error_threshold,0.2,200,20,100,5,0.74464,0.76004,0.72924,-0.03080000000000005,20,1.0,20,0,3
abrupt,25000,error_threshold,0.2,200,20,500,20,0.74348,0.76136,0.7256,-0.035760000000000014,20,1.0,20,0,3
gradual,25000,error_threshold,0.2,200,5,10,1,0.74868,0.764,0.73336,-0.03064,5,1.0,5,0,3
gradual,25000,error_threshold,0.2,200,5,100,5,0.74872,0.76452,0.73292,-0.03159999999999996,5,1.0,5,0,3
gradual,25000,error_threshold,0.2,200,5,500,20,0.74764,0.76352,0.73176,-0.03176000000000001,5,1.0,5,0,3
gradual,25000,error_threshold,0.2,200,10,10,1,0.74844,0.76324,0.73364,-0.02960000000000007,10,1.0,10,0,3
gradual,25000,error_threshold,0.2,200,10,100,5,0.74786,0.76272,0.733,-0.02971999999999997,10,1.0,10,0,3
gradual,25000,error_threshold,0.2,200,10,500,20,0.74552,0.7614,0.72964,-0.03176000000000001,10,1.0,10,0,3
gradual,25000,error_threshold,0.2,200,20,10,1,0.7471,0.761,0.7332,-0.027800000000000047,20,1.0,20,0,3
gradual,25000,error_threshold,0.2,200,20,100,5,0.74736,0.76284,0.73188,-0.030959999999999988,20,1.0,20,0,3
gradual,25000,error_threshold,0.2,200,20,500,20,0.74356,0.76096,0.72616,-0.03479999999999994,20,1.0,20,0,3
recurring,25000,error_threshold,0.2,200,5,10,1,0.75584,0.76152,0.75016,-0.011359999999999926,5,1.0,5,0,3
recurring,25000,error_threshold,0.2,200,5,100,5,0.7562,0.76272,0.74968,-0.01303999999999994,5,1.0,5,0,3
recurring,25000,error_threshold,0.2,200,5,500,20,0.75582,0.76244,0.7492,-0.01324000000000003,5,1.0,5,0,3
recurring,25000,error_threshold,0.2,200,10,10,1,0.757,0.76372,0.75028,-0.013440000000000007,10,1.0,10,0,3
recurring,25000,error_threshold,0.2,200,10,100,5,0.7565,0.76332,0.74968,-0.013639999999999985,10,1.0,10,0,3
recurring,25000,error_threshold,0.2,200,10,500,20,0.7544,0.7618,0.747,-0.014800000000000035,10,1.0,10,0,3
recurring,25000,error_threshold,0.2,200,20,10,1,0.75688,0.7638,0.74996,-0.013840000000000074,20,1.0,20,0,3
recurring,25000,error_threshold,0.2,200,20,100,5,0.75526,0.76252,0.748,-0.014519999999999977,20,1.0,20,0,3
recurring,25000,error_threshold,0.2,200,20,500,20,0.75268,0.76088,0.74448,-0.01639999999999997,20,1.0,20,0,3
