drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,periodic,,,5,10,1,0.7226,0.76036,0.68484,-0.07552000000000003,5,1.0,3,2,1
abrupt,25000,periodic,,,5,100,5,0.72292,0.76144,0.6844,-0.07704,5,1.0,3,2,1
abrupt,25000,periodic,,,5,500,20,0.72376,0.76184,0.68568,-0.07616,5,1.0,3,2,1
abrupt,25000,periodic,,,10,10,1,0.72168,0.7588,0.68456,-0.07424000000000008,10,1.0,5,5,1
abrupt,25000,periodic,,,10,100,5,0.7204,0.75684,0.68396,-0.07287999999999994,10,1.0,5,5,1
abrupt,25000,periodic,,,10,500,20,0.7208,0.7592,0.6824,-0.07679999999999998,10,1.0,5,5,1
abrupt,25000,periodic,,,20,10,1,0.72154,0.75728,0.6858,-0.07147999999999999,20,1.0,10,10,1
abrupt,25000,periodic,,,20,100,5,0.72024,0.75748,0.683,-0.07447999999999999,20,1.0,10,10,1
abrupt,25000,periodic,,,20,500,20,0.7223,0.75904,0.68556,-0.0734800000000001,20,1.0,10,10,1
gradual,25000,periodic,,,5,10,1,0.72706,0.76132,0.6928,-0.06852000000000003,5,1.0,3,2,1
gradual,25000,periodic,,,5,100,5,0.72726,0.76104,0.69348,-0.06756000000000006,5,1.0,3,2,1
gradual,25000,periodic,,,5,500,20,0.72828,0.76108,0.69548,-0.06559999999999999,5,1.0,3,2,1
gradual,25000,periodic,,,10,10,1,0.7238,0.75852,0.68908,-0.06943999999999995,10,1.0,5,5,1
gradual,25000,periodic,,,10,100,5,0.72498,0.75728,0.69268,-0.06459999999999999,10,1.0,5,5,1
gradual,25000,periodic,,,10,500,20,0.72474,0.7582,0.69128,-0.06691999999999998,10,1.0,5,5,1
gradual,25000,periodic,,,20,10,1,0.72554,0.7578,0.69328,-0.06452000000000002,20,1.0,10,10,1
gradual,25000,periodic,,,20,100,5,0.72488,0.7556,0.69416,-0.06144000000000005,20,1.0,10,10,1
