policy_type,drift_type,mean,std,count
drift_triggered,abrupt,0.6905303703703703,0.050688570209244915,27
drift_triggered,gradual,0.6946651851851853,0.05800533890350563,27
drift_triggered,recurring,0.691877037037037,0.07749482636899134,27
error_threshold,abrupt,0.6651703703703704,0.07057992095607112,27
error_threshold,gradual,0.6707525925925927,0.07224446875780087,27
error_threshold,recurring,0.6650177777777778,0.07525110238565552,27
no_retrain,abrupt,0.48666666666666664,0.04489394316980117,3
no_retrain,gradual,0.48816,0.047666155708217146,3
no_retrain,recurring,0.4931733333333333,0.05436043168825404,3
periodic,abrupt,0.6960962962962962,0.025701534846138907,27
periodic,gradual,0.7039496296296297,0.02221352766662719,27
periodic,recurring,0.7113244444444445,0.024889553776222855,27
