budget,policy_type,drift_type,mean,std,count
5,drift_triggered,abrupt,0.6767511111111112,0.04411014295047241,9
5,drift_triggered,gradual,0.6993466666666667,0.058897327613398553,9
5,drift_triggered,recurring,0.6799377777777778,0.08341016271680834,9
5,error_threshold,abrupt,0.6556888888888889,0.08896162493519953,9
5,error_threshold,gradual,0.6861333333333334,0.061827437275048046,9
5,error_threshold,recurring,0.6543466666666666,0.07754471226331296,9
5,periodic,abrupt,0.7050088888888889,0.03160694719695513,9
5,periodic,gradual,0.7090266666666667,0.022550804863685003,9
5,periodic,recurring,0.7115244444444444,0.02309212371735822,9
10,drift_triggered,abrupt,0.70076,0.04764450860277604,9
10,drift_triggered,gradual,0.6928,0.06202059335414325,9
10,drift_triggered,recurring,0.7032666666666666,0.07570947100594481,9
10,error_threshold,abrupt,0.6753555555555555,0.056378270439751674,9
10,error_threshold,gradual,0.6568977777777777,0.06837197411545495,9
10,error_threshold,recurring,0.66156,0.07782532749690166,9
10,periodic,abrupt,0.6904666666666667,0.025651994074535393,9
10,periodic,gradual,0.6985111111111111,0.02101473557081107,9
10,periodic,recurring,0.6999155555555556,0.023707428746656115,9
20,drift_triggered,abrupt,0.69408,0.06155582831868974,9
20,drift_triggered,gradual,0.6918488888888888,0.059850406106484455,9
20,drift_triggered,recurring,0.6924266666666666,0.0807581822479927,9
20,error_threshold,abrupt,0.6644666666666666,0.0698489713596414,9
20,error_threshold,gradual,0.6692266666666666,0.08933386144122508,9
20,error_threshold,recurring,0.6791466666666666,0.07725132490773219,9
20,periodic,abrupt,0.6928133333333333,0.018779829605190746,9
20,periodic,gradual,0.7043111111111111,0.024312645086685094,9
20,periodic,recurring,0.7225333333333332,0.025104413954522016,9
