policy_type,drift_type,mean,std,count
drift_triggered,abrupt,0.61808,0.24856315018676686,27
drift_triggered,gradual,0.7657822222222223,0.19231986379533555,27
drift_triggered,recurring,0.7511333333333333,0.15746972202250867,27
error_threshold,abrupt,0.779557037037037,0.17760531035925214,27
error_threshold,gradual,0.770511111111111,0.2045464970524068,27
error_threshold,recurring,0.7240548148148148,0.1989458920327212,27
no_retrain,abrupt,0.25336,0.11324241608160786,3
no_retrain,gradual,0.26888,0.09033442754564838,3
no_retrain,recurring,0.33782666666666666,0.018688877262514555,3
periodic,abrupt,0.8836296296296297,0.04310238057690102,27
periodic,gradual,0.9009392592592592,0.036757844366980014,27
periodic,recurring,0.7478237037037038,0.20899082769987318,27
