policy_type,drift_type,mean,std,count
drift_triggered,abrupt,0.6136377777777778,0.11081398076093509,90
drift_triggered,gradual,0.5518866666666666,0.07111156008363258,90
drift_triggered,recurring,0.5783733333333334,0.08194065377804254,90
error_threshold,abrupt,0.6176866666666666,0.14363720856864795,90
error_threshold,gradual,0.6135022222222223,0.12828457917237446,90
error_threshold,recurring,0.6014977777777778,0.06831882458560777,90
no_retrain,abrupt,0.48948,0.0906333860487771,10
no_retrain,gradual,0.5005,0.08198884748007568,10
no_retrain,recurring,0.5246999999999999,0.06182780747995014,10
periodic,abrupt,0.7033533333333334,0.0627097759523984,90
periodic,gradual,0.7116666666666667,0.056323950640294544,90
periodic,recurring,0.5601422222222222,0.09873220730365138,90
