dataset,policy_type,mean_post_drift_accuracy,std_post_drift_accuracy,n_runs
synthetic,periodic,0.6583874074074073,0.10213444156162395,270
synthetic,error_threshold,0.6108955555555555,0.11773890044950412,270
synthetic,drift_triggered,0.5812992592592593,0.09273371037730269,270
synthetic,no_retrain,0.5048933333333333,0.07775405492623047,30
luflow,periodic,0.8441308641975309,0.1413649685052624,81
luflow,error_threshold,0.758040987654321,0.19316141539917422,81
luflow,drift_triggered,0.7116651851851852,0.21125674223034344,81
luflow,no_retrain,0.2866888888888889,0.08276169591732102,9
lendingclub,periodic,0.70379012345679,0.02480993311628566,81
lendingclub,error_threshold,0.6669802469135803,0.07185298299262372,81
lendingclub,drift_triggered,0.6923575308641976,0.06231618163709295,81
lendingclub,no_retrain,0.48933333333333334,0.0426539423734782,9
