drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,drift_triggered,,500,5,10,1,0.61052,0.61336,0.60768,-0.005680000000000018,5,1.0,5,0,1
abrupt,25000,drift_triggered,,500,5,100,5,0.68322,0.69244,0.674,-0.018440000000000012,5,1.0,5,0,1
abrupt,25000,drift_triggered,,500,5,500,20,0.72152,0.70048,0.74256,0.042080000000000006,2,0.4,2,0,1
abrupt,25000,drift_triggered,,500,10,10,1,0.73742,0.74724,0.7276,-0.01963999999999999,10,1.0,10,0,1
abrupt,25000,drift_triggered,,500,10,100,5,0.68786,0.71644,0.65928,-0.05715999999999999,9,0.9,4,5,1
abrupt,25000,drift_triggered,,500,10,500,20,0.73694,0.75104,0.72284,-0.028200000000000003,2,0.2,1,1,1
abrupt,25000,drift_triggered,,500,20,10,1,0.6317,0.65608,0.60732,-0.048760000000000026,20,1.0,14,6,1
abrupt,25000,drift_triggered,,500,20,100,5,0.67598,0.66476,0.6872,0.022440000000000015,6,0.3,5,1,1
abrupt,25000,drift_triggered,,500,20,500,20,0.68648,0.70164,0.67132,-0.030320000000000014,4,0.2,3,1,1
gradual,25000,drift_triggered,,500,5,10,1,0.61264,0.60752,0.61776,0.010240000000000027,5,1.0,5,0,1
gradual,25000,drift_triggered,,500,5,100,5,0.70222,0.67936,0.72508,0.04571999999999998,5,1.0,5,0,1
gradual,25000,drift_triggered,,500,5,500,20,0.7137,0.70304,0.72436,0.021320000000000006,1,0.2,1,0,1
gradual,25000,drift_triggered,,500,10,10,1,0.61076,0.61336,0.60816,-0.005199999999999982,10,1.0,10,0,1
gradual,25000,drift_triggered,,500,10,100,5,0.67996,0.66432,0.6956,0.031279999999999974,10,1.0,4,6,1
gradual,25000,drift_triggered,,500,10,500,20,0.69242,0.67452,0.71032,0.03579999999999994,4,0.4,2,2,1
gradual,25000,drift_triggered,,500,20,10,1,0.64208,0.59268,0.69148,0.0988,20,1.0,19,1,1
gradual,25000,drift_triggered,,500,20,100,5,0.65416,0.641,0.66732,0.02632000000000001,15,0.75,12,3,1
gradual,25000,drift_triggered,,500,20,500,20,0.70446,0.7134,0.69552,-0.017880000000000007,4,0.2,1,3,1
recurring,25000,drift_triggered,,500,5,10,1,0.53682,0.54248,0.53116,-0.011319999999999997,5,1.0,5,0,1
recurring,25000,drift_triggered,,500,5,100,5,0.69548,0.66864,0.72232,0.05367999999999995,5,1.0,5,0,1
recurring,25000,drift_triggered,,500,5,500,20,0.76876,0.76396,0.77356,0.009600000000000053,1,0.2,1,0,1
recurring,25000,drift_triggered,,500,10,10,1,0.59754,0.5876,0.60748,0.01988000000000001,10,1.0,10,0,1
recurring,25000,drift_triggered,,500,10,100,5,0.72492,0.67316,0.77668,0.10352000000000006,10,1.0,9,1,1
recurring,25000,drift_triggered,,500,10,500,20,0.71598,0.70764,0.72432,0.016679999999999917,3,0.3,2,1,1
recurring,25000,drift_triggered,,500,20,10,1,0.63306,0.61376,0.65236,0.03860000000000008,20,1.0,20,0,1
recurring,25000,drift_triggered,,500,20,100,5,0.73858,0.7502,0.72696,-0.023239999999999927,8,0.4,5,3,1
