drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,error_threshold,0.2,200,5,10,1,0.59428,0.64184,0.54672,-0.09511999999999998,5,1.0,5,0,1
abrupt,25000,error_threshold,0.2,200,5,100,5,0.69162,0.72276,0.66048,-0.06228,5,1.0,5,0,1
abrupt,25000,error_threshold,0.2,200,5,500,20,0.74894,0.76412,0.73376,-0.030360000000000054,5,1.0,5,0,1
abrupt,25000,error_threshold,0.2,200,10,10,1,0.65312,0.68572,0.62052,-0.06520000000000004,10,1.0,10,0,1
abrupt,25000,error_threshold,0.2,200,10,100,5,0.73558,0.75156,0.7196,-0.03195999999999999,10,1.0,10,0,1
abrupt,25000,error_threshold,0.2,200,10,500,20,0.76294,0.78924,0.73664,-0.05260000000000009,10,1.0,10,0,1
abrupt,25000,error_threshold,0.2,200,20,10,1,0.58656,0.56232,0.6108,0.04847999999999997,20,1.0,20,0,1
abrupt,25000,error_threshold,0.2,200,20,100,5,0.69412,0.72532,0.66292,-0.06240000000000001,20,1.0,20,0,1
abrupt,25000,error_threshold,0.2,200,20,500,20,0.73644,0.76192,0.71096,-0.050960000000000005,20,1.0,20,0,1
gradual,25000,error_threshold,0.2,200,5,10,1,0.64684,0.6954,0.59828,-0.09711999999999998,5,1.0,5,0,1
gradual,25000,error_threshold,0.2,200,5,100,5,0.74826,0.78008,0.71644,-0.06364000000000003,5,1.0,5,0,1
gradual,25000,error_threshold,0.2,200,5,500,20,0.77052,0.78992,0.75112,-0.038799999999999946,5,1.0,5,0,1
gradual,25000,error_threshold,0.2,200,10,10,1,0.54792,0.58604,0.5098,-0.07623999999999997,10,1.0,10,0,1
gradual,25000,error_threshold,0.2,200,10,100,5,0.62748,0.60688,0.64808,0.041200000000000014,10,1.0,10,0,1
gradual,25000,error_threshold,0.2,200,10,500,20,0.70934,0.72124,0.69744,-0.023800000000000043,10,1.0,10,0,1
gradual,25000,error_threshold,0.2,200,20,10,1,0.59972,0.615,0.58444,-0.03056000000000003,20,1.0,20,0,1
gradual,25000,error_threshold,0.2,200,20,100,5,0.72546,0.73152,0.7194,-0.012119999999999909,20,1.0,20,0,1
gradual,25000,error_threshold,0.2,200,20,500,20,0.74696,0.78196,0.71196,-0.06999999999999995,20,1.0,20,0,1
recurring,25000,error_threshold,0.2,200,5,10,1,0.61668,0.64812,0.58524,-0.06288000000000005,5,1.0,5,0,1
recurring,25000,error_threshold,0.2,200,5,100,5,0.6476,0.66256,0.63264,-0.029920000000000058,5,1.0,5,0,1
recurring,25000,error_threshold,0.2,200,5,500,20,0.77902,0.79208,0.76596,-0.026120000000000032,5,1.0,5,0,1
recurring,25000,error_threshold,0.2,200,10,10,1,0.51756,0.53612,0.499,-0.03712000000000004,10,1.0,10,0,1
recurring,25000,error_threshold,0.2,200,10,100,5,0.7065,0.7144,0.6986,-0.015800000000000036,10,1.0,10,0,1
recurring,25000,error_threshold,0.2,200,10,500,20,0.75312,0.77572,0.73052,-0.04520000000000002,10,1.0,10,0,1
recurring,25000,error_threshold,0.2,200,20,10,1,0.62454,0.6218,0.62728,0.005479999999999929,20,1.0,20,0,1
recurring,25000,error_threshold,0.2,200,20,100,5,0.72032,0.73944,0.7012,-0.03823999999999994,20,1.0,20,0,1
recurring,25000,error_threshold,0.2,200,20,500,20,0.7394,0.76104,0.71776,-0.043280000000000096,20,1.0,20,0,1
abrupt,25000,error_threshold,0.2,200,5,10,1,0.54872,0.51916,0.57828,0.05912000000000006,5,1.0,5,0,2
abrupt,25000,error_threshold,0.2,200,5,100,5,0.5975,0.5862,0.6088,0.022599999999999953,5,1.0,5,0,2
abrupt,25000,error_threshold,0.2,200,5,500,20,0.6923,0.69284,0.69176,-0.0010799999999999699,5,1.0,5,0,2
abrupt,25000,error_threshold,0.2,200,10,10,1,0.62022,0.6362,0.60424,-0.03195999999999999,10,1.0,10,0,2
abrupt,25000,error_threshold,0.2,200,10,100,5,0.6692,0.67632,0.66208,-0.01424000000000003,10,1.0,10,0,2
abrupt,25000,error_threshold,0.2,200,10,500,20,0.7297,0.73472,0.72468,-0.010040000000000049,10,1.0,10,0,2
abrupt,25000,error_threshold,0.2,200,20,10,1,0.64838,0.64664,0.65012,0.0034800000000000386,20,1.0,20,0,2
abrupt,25000,error_threshold,0.2,200,20,100,5,0.61392,0.61752,0.61032,-0.007199999999999984,20,1.0,20,0,2
abrupt,25000,error_threshold,0.2,200,20,500,20,0.66696,0.68048,0.65344,-0.027039999999999953,20,1.0,20,0,2
gradual,25000,error_threshold,0.2,200,5,10,1,0.621,0.62344,0.61856,-0.0048799999999999955,5,1.0,5,0,2
gradual,25000,error_threshold,0.2,200,5,100,5,0.73014,0.7452,0.71508,-0.030119999999999925,5,1.0,5,0,2
gradual,25000,error_threshold,0.2,200,5,500,20,0.71156,0.72416,0.69896,-0.0252,5,1.0,5,0,2
gradual,25000,error_threshold,0.2,200,10,10,1,0.63032,0.65792,0.60272,-0.055199999999999916,10,1.0,10,0,2
gradual,25000,error_threshold,0.2,200,10,100,5,0.70288,0.70004,0.70572,0.005680000000000018,10,1.0,10,0,2
gradual,25000,error_threshold,0.2,200,10,500,20,0.69138,0.69912,0.68364,-0.015479999999999938,10,1.0,10,0,2
