drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,periodic,,,5,10,1,0.69972,0.69956,0.69988,0.00031999999999998696,5,1.0,3,2,1
abrupt,25000,periodic,,,5,100,5,0.69536,0.70324,0.68748,-0.015759999999999996,5,1.0,3,2,1
abrupt,25000,periodic,,,5,500,20,0.70482,0.725,0.68464,-0.04035999999999995,5,1.0,3,2,1
abrupt,25000,periodic,,,10,10,1,0.71008,0.75192,0.66824,-0.08368000000000009,10,1.0,5,5,1
abrupt,25000,periodic,,,10,100,5,0.71292,0.75468,0.67116,-0.08352000000000004,10,1.0,5,5,1
abrupt,25000,periodic,,,10,500,20,0.70726,0.73056,0.68396,-0.046599999999999975,10,1.0,5,5,1
abrupt,25000,periodic,,,20,10,1,0.71556,0.73588,0.69524,-0.04064000000000001,20,1.0,10,10,1
abrupt,25000,periodic,,,20,100,5,0.7159,0.74224,0.68956,-0.05268000000000006,20,1.0,10,10,1
abrupt,25000,periodic,,,20,500,20,0.72604,0.76384,0.68824,-0.0756,20,1.0,10,10,1
gradual,25000,periodic,,,5,10,1,0.70884,0.70136,0.71632,0.014959999999999973,5,1.0,3,2,1
gradual,25000,periodic,,,5,100,5,0.7015,0.70492,0.69808,-0.006839999999999957,5,1.0,3,2,1
gradual,25000,periodic,,,5,500,20,0.7153,0.7106,0.72,0.009399999999999964,5,1.0,3,2,1
gradual,25000,periodic,,,10,10,1,0.699,0.71864,0.67936,-0.03927999999999998,10,1.0,5,5,1
gradual,25000,periodic,,,10,100,5,0.70014,0.70236,0.69792,-0.0044399999999999995,10,1.0,5,5,1
gradual,25000,periodic,,,10,500,20,0.72292,0.75664,0.6892,-0.06743999999999994,10,1.0,5,5,1
gradual,25000,periodic,,,20,10,1,0.70642,0.7206,0.69224,-0.028360000000000052,20,1.0,10,10,1
gradual,25000,periodic,,,20,100,5,0.72882,0.76196,0.69568,-0.06628,20,1.0,10,10,1
gradual,25000,periodic,,,20,500,20,0.70714,0.73664,0.67764,-0.05899999999999994,20,1.0,10,10,1
recurring,25000,periodic,,,5,10,1,0.70702,0.7014,0.71264,0.011240000000000028,5,1.0,3,2,1
recurring,25000,periodic,,,5,100,5,0.70106,0.6738,0.72832,0.05452000000000001,5,1.0,3,2,1
recurring,25000,periodic,,,5,500,20,0.70036,0.66132,0.7394,0.07807999999999993,5,1.0,3,2,1
recurring,25000,periodic,,,10,10,1,0.7218,0.72372,0.71988,-0.0038400000000000656,10,1.0,5,5,1
recurring,25000,periodic,,,10,100,5,0.70502,0.7056,0.70444,-0.0011600000000000499,10,1.0,5,5,1
recurring,25000,periodic,,,10,500,20,0.70306,0.73024,0.67588,-0.054359999999999964,10,1.0,5,5,1
recurring,25000,periodic,,,20,10,1,0.7224,0.72556,0.71924,-0.006319999999999992,20,1.0,10,10,1
recurring,25000,periodic,,,20,100,5,0.73566,0.7504,0.72092,-0.02947999999999995,20,1.0,10,10,1
recurring,25000,periodic,,,20,500,20,0.75016,0.76384,0.73648,-0.02735999999999994,20,1.0,10,10,1
abrupt,25000,periodic,,,5,10,1,0.64522,0.639,0.65144,0.012440000000000007,5,1.0,3,2,2
abrupt,25000,periodic,,,5,100,5,0.6808,0.6582,0.7034,0.04520000000000002,5,1.0,3,2,2
abrupt,25000,periodic,,,5,500,20,0.69124,0.6712,0.71128,0.040080000000000005,5,1.0,3,2,2
abrupt,25000,periodic,,,10,10,1,0.69046,0.6982,0.68272,-0.01548000000000005,10,1.0,5,5,2
abrupt,25000,periodic,,,10,100,5,0.68272,0.683,0.68244,-0.0005600000000000049,10,1.0,5,5,2
abrupt,25000,periodic,,,10,500,20,0.67498,0.68932,0.66064,-0.02868000000000004,10,1.0,5,5,2
abrupt,25000,periodic,,,20,10,1,0.69294,0.71988,0.666,-0.05387999999999993,20,1.0,10,10,2
abrupt,25000,periodic,,,20,100,5,0.6906,0.70856,0.67264,-0.03591999999999995,20,1.0,10,10,2
abrupt,25000,periodic,,,20,500,20,0.68662,0.69216,0.68108,-0.011079999999999979,20,1.0,10,10,2
gradual,25000,periodic,,,5,10,1,0.6692,0.65924,0.67916,0.019919999999999938,5,1.0,3,2,2
gradual,25000,periodic,,,5,100,5,0.66466,0.63608,0.69324,0.05715999999999999,5,1.0,3,2,2
gradual,25000,periodic,,,5,500,20,0.68054,0.66864,0.69244,0.023800000000000043,5,1.0,3,2,2
gradual,25000,periodic,,,10,10,1,0.67116,0.66908,0.67324,0.0041599999999999415,10,1.0,5,5,2
gradual,25000,periodic,,,10,100,5,0.6923,0.6758,0.7088,0.03300000000000003,10,1.0,5,5,2
gradual,25000,periodic,,,10,500,20,0.66596,0.65568,0.67624,0.02055999999999991,10,1.0,5,5,2
gradual,25000,periodic,,,20,10,1,0.69906,0.71568,0.68244,-0.033239999999999936,20,1.0,10,10,2
gradual,25000,periodic,,,20,100,5,0.69446,0.697,0.69192,-0.005079999999999973,20,1.0,10,10,2
gradual,25000,periodic,,,20,500,20,0.69092,0.6904,0.69144,0.001040000000000041,20,1.0,10,10,2
recurring,25000,periodic,,,5,10,1,0.66822,0.63728,0.69916,0.061880000000000046,5,1.0,3,2,2
recurring,25000,periodic,,,5,100,5,0.68992,0.66332,0.71652,0.053200000000000025,5,1.0,3,2,2
recurring,25000,periodic,,,5,500,20,0.64962,0.63904,0.6602,0.021159999999999957,5,1.0,3,2,2
recurring,25000,periodic,,,10,10,1,0.68294,0.6676,0.69828,0.03068000000000004,10,1.0,5,5,2
recurring,25000,periodic,,,10,100,5,0.65252,0.65588,0.64916,-0.006720000000000059,10,1.0,5,5,2
recurring,25000,periodic,,,10,500,20,0.70034,0.69832,0.70236,0.0040399999999999325,10,1.0,5,5,2
recurring,25000,periodic,,,20,10,1,0.69734,0.70396,0.69072,-0.01324000000000003,20,1.0,10,10,2
recurring,25000,periodic,,,20,100,5,0.69458,0.6928,0.69636,0.0035600000000000076,20,1.0,10,10,2
recurring,25000,periodic,,,20,500,20,0.69948,0.70272,0.69624,-0.006480000000000041,20,1.0,10,10,2
abrupt,25000,periodic,,,5,10,1,0.69276,0.62,0.76552,0.14551999999999998,5,1.0,3,2,3
abrupt,25000,periodic,,,5,100,5,0.67846,0.6268,0.73012,0.10331999999999997,5,1.0,3,2,3
abrupt,25000,periodic,,,5,500,20,0.66444,0.61756,0.71132,0.09375999999999995,5,1.0,3,2,3
abrupt,25000,periodic,,,10,10,1,0.69734,0.65632,0.73836,0.08204,10,1.0,5,5,3
