drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,drift_triggered,,500,5,10,1,0.52454,0.34928,0.6998,0.35052,5,1.0,0,5,1
abrupt,25000,drift_triggered,,500,5,100,5,0.44958,0.34928,0.54988,0.20060000000000006,5,1.0,0,5,1
abrupt,25000,drift_triggered,,500,5,500,20,0.54024,0.34928,0.7312,0.38192,4,0.8,0,4,1
abrupt,25000,drift_triggered,,500,10,10,1,0.4422,0.34928,0.53512,0.18584000000000006,10,1.0,0,10,1
abrupt,25000,drift_triggered,,500,10,100,5,0.5475,0.34928,0.74572,0.39644000000000007,10,1.0,0,10,1
abrupt,25000,drift_triggered,,500,10,500,20,0.54556,0.34928,0.74184,0.3925600000000001,1,0.1,0,1,1
abrupt,25000,drift_triggered,,500,20,10,1,0.52594,0.34928,0.7026,0.35332,20,1.0,0,20,1
abrupt,25000,drift_triggered,,500,20,100,5,0.54454,0.34928,0.7398,0.39052000000000003,6,0.3,0,6,1
abrupt,25000,drift_triggered,,500,20,500,20,0.55606,0.34928,0.76284,0.41356,1,0.05,0,1,1
gradual,25000,drift_triggered,,500,5,10,1,0.7986,0.93184,0.66536,-0.26648000000000005,5,1.0,5,0,1
gradual,25000,drift_triggered,,500,5,100,5,0.92442,0.97964,0.8692,-0.11043999999999998,5,1.0,5,0,1
gradual,25000,drift_triggered,,500,5,500,20,0.97116,0.99292,0.9494,-0.04352,3,0.6,1,2,1
gradual,25000,drift_triggered,,500,10,10,1,0.92454,0.95384,0.89524,-0.058599999999999985,10,1.0,10,0,1
gradual,25000,drift_triggered,,500,10,100,5,0.95686,0.99372,0.92,-0.07372000000000001,8,0.8,5,3,1
gradual,25000,drift_triggered,,500,10,500,20,0.95226,0.99372,0.9108,-0.08292,4,0.4,1,3,1
gradual,25000,drift_triggered,,500,20,10,1,0.85272,0.93924,0.7662,-0.17303999999999997,20,1.0,20,0,1
gradual,25000,drift_triggered,,500,20,100,5,0.95616,0.98552,0.9268,-0.058719999999999994,9,0.45,7,2,1
gradual,25000,drift_triggered,,500,20,500,20,0.9558,0.99348,0.91812,-0.07535999999999998,2,0.1,1,1,1
recurring,25000,drift_triggered,,500,5,10,1,0.92566,0.95688,0.89444,-0.06243999999999994,5,1.0,5,0,1
recurring,25000,drift_triggered,,500,5,100,5,0.95126,0.99316,0.90936,-0.0838000000000001,5,1.0,5,0,1
recurring,25000,drift_triggered,,500,5,500,20,0.97986,0.99372,0.966,-0.027720000000000078,3,0.6,1,2,1
recurring,25000,drift_triggered,,500,10,10,1,0.88832,0.88488,0.89176,0.006879999999999997,10,1.0,10,0,1
recurring,25000,drift_triggered,,500,10,100,5,0.97194,0.99372,0.95016,-0.04356000000000004,8,0.8,5,3,1
recurring,25000,drift_triggered,,500,10,500,20,0.96474,0.99368,0.9358,-0.05788000000000004,4,0.4,1,3,1
recurring,25000,drift_triggered,,500,20,10,1,0.78666,0.77732,0.796,0.01868000000000003,20,1.0,20,0,1
recurring,25000,drift_triggered,,500,20,100,5,0.95274,0.99352,0.91196,-0.08155999999999997,20,1.0,5,15,1
recurring,25000,drift_triggered,,500,20,500,20,0.97392,0.99372,0.95412,-0.03960000000000008,2,0.1,1,1,1
abrupt,25000,drift_triggered,,500,5,10,1,0.50718,0.55204,0.46232,-0.08971999999999997,5,1.0,5,0,2
abrupt,25000,drift_triggered,,500,5,100,5,0.74906,0.83308,0.66504,-0.16804000000000008,5,1.0,5,0,2
abrupt,25000,drift_triggered,,500,5,500,20,0.70226,0.80668,0.59784,-0.20883999999999991,5,1.0,5,0,2
abrupt,25000,drift_triggered,,500,10,10,1,0.74926,0.8432,0.65532,-0.18787999999999994,10,1.0,10,0,2
abrupt,25000,drift_triggered,,500,10,100,5,0.72278,0.8456,0.59996,-0.24563999999999997,10,1.0,10,0,2
abrupt,25000,drift_triggered,,500,10,500,20,0.90346,0.90364,0.90328,-0.00036000000000002697,9,0.9,7,2,2
abrupt,25000,drift_triggered,,500,20,10,1,0.53266,0.82592,0.2394,-0.5865199999999999,20,1.0,20,0,2
abrupt,25000,drift_triggered,,500,20,100,5,0.78012,0.8774,0.68284,-0.19455999999999996,20,1.0,20,0,2
abrupt,25000,drift_triggered,,500,20,500,20,0.89158,0.90008,0.88308,-0.017000000000000015,11,0.55,9,2,2
gradual,25000,drift_triggered,,500,5,10,1,0.76816,0.81724,0.71908,-0.09815999999999991,5,1.0,5,0,2
gradual,25000,drift_triggered,,500,5,100,5,0.76756,0.85156,0.68356,-0.16800000000000004,5,1.0,5,0,2
gradual,25000,drift_triggered,,500,5,500,20,0.61514,0.72636,0.50392,-0.22243999999999997,5,1.0,5,0,2
gradual,25000,drift_triggered,,500,10,10,1,0.70816,0.82508,0.59124,-0.23384000000000005,10,1.0,10,0,2
gradual,25000,drift_triggered,,500,10,100,5,0.83102,0.75764,0.9044,0.14676,10,1.0,10,0,2
gradual,25000,drift_triggered,,500,10,500,20,0.7973,0.86852,0.72608,-0.14244,10,1.0,10,0,2
gradual,25000,drift_triggered,,500,20,10,1,0.73966,0.8314,0.64792,-0.18347999999999998,20,1.0,20,0,2
gradual,25000,drift_triggered,,500,20,100,5,0.82912,0.88168,0.77656,-0.10511999999999999,20,1.0,20,0,2
gradual,25000,drift_triggered,,500,20,500,20,0.92568,0.88852,0.96284,0.07432000000000005,15,0.75,11,4,2
recurring,25000,drift_triggered,,500,5,10,1,0.83848,0.87568,0.80128,-0.07440000000000002,5,1.0,5,0,2
recurring,25000,drift_triggered,,500,5,100,5,0.64376,0.7996,0.48792,-0.31167999999999996,5,1.0,5,0,2
recurring,25000,drift_triggered,,500,5,500,20,0.79572,0.86248,0.72896,-0.13351999999999997,5,1.0,5,0,2
recurring,25000,drift_triggered,,500,10,10,1,0.66578,0.74252,0.58904,-0.15347999999999995,10,1.0,10,0,2
recurring,25000,drift_triggered,,500,10,100,5,0.8419,0.85824,0.82556,-0.03268000000000004,10,1.0,10,0,2
recurring,25000,drift_triggered,,500,10,500,20,0.82048,0.86312,0.77784,-0.08528000000000002,10,1.0,10,0,2
recurring,25000,drift_triggered,,500,20,10,1,0.71998,0.84492,0.59504,-0.24988,20,1.0,20,0,2
recurring,25000,drift_triggered,,500,20,100,5,0.81874,0.87504,0.76244,-0.11260000000000003,20,1.0,20,0,2
recurring,25000,drift_triggered,,500,20,500,20,0.86136,0.9138,0.80892,-0.10487999999999997,20,1.0,11,9,2
abrupt,25000,drift_triggered,,500,5,10,1,0.5601,0.61096,0.50924,-0.10171999999999992,5,1.0,5,0,3
abrupt,25000,drift_triggered,,500,5,100,5,0.48446,0.8678,0.10112,-0.76668,5,1.0,5,0,3
