drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,error_threshold,0.2,200,5,10,1,0.74114,0.93696,0.54532,-0.39164,5,1.0,5,0,1
abrupt,25000,error_threshold,0.2,200,5,100,5,0.96104,0.99436,0.92772,-0.06664000000000003,3,0.6,2,1,1
abrupt,25000,error_threshold,0.2,200,5,500,20,0.97478,0.99416,0.9554,-0.03876000000000002,2,0.4,1,1,1
abrupt,25000,error_threshold,0.2,200,10,10,1,0.77272,0.84284,0.7026,-0.14024000000000003,10,1.0,10,0,1
abrupt,25000,error_threshold,0.2,200,10,100,5,0.95692,0.98564,0.9282,-0.057439999999999936,4,0.4,3,1,1
abrupt,25000,error_threshold,0.2,200,10,500,20,0.96104,0.99276,0.92932,-0.06343999999999994,3,0.3,1,2,1
abrupt,25000,error_threshold,0.2,200,20,10,1,0.95996,0.99228,0.92764,-0.06464000000000003,19,0.95,17,2,1
abrupt,25000,error_threshold,0.2,200,20,100,5,0.95318,0.99424,0.91212,-0.08211999999999997,4,0.2,2,2,1
abrupt,25000,error_threshold,0.2,200,20,500,20,0.94818,0.99396,0.9024,-0.09155999999999997,2,0.1,1,1,1
gradual,25000,error_threshold,0.2,200,5,10,1,0.69306,0.9352,0.45092,-0.48428000000000004,5,1.0,5,0,1
gradual,25000,error_threshold,0.2,200,5,100,5,0.9615,0.99328,0.92972,-0.06356000000000006,3,0.6,2,1,1
gradual,25000,error_threshold,0.2,200,5,500,20,0.95546,0.99424,0.91668,-0.07755999999999996,2,0.4,1,1,1
gradual,25000,error_threshold,0.2,200,10,10,1,0.64824,0.77504,0.52144,-0.25359999999999994,10,1.0,10,0,1
gradual,25000,error_threshold,0.2,200,10,100,5,0.96904,0.99256,0.94552,-0.04703999999999997,3,0.3,2,1,1
gradual,25000,error_threshold,0.2,200,10,500,20,0.9625,0.99424,0.93076,-0.06347999999999998,3,0.3,1,2,1
gradual,25000,error_threshold,0.2,200,20,10,1,0.81216,0.87912,0.7452,-0.13392000000000004,20,1.0,20,0,1
gradual,25000,error_threshold,0.2,200,20,100,5,0.96066,0.99364,0.92768,-0.06596000000000002,3,0.15,2,1,1
gradual,25000,error_threshold,0.2,200,20,500,20,0.96196,0.99404,0.92988,-0.06416,2,0.1,1,1,1
recurring,25000,error_threshold,0.2,200,5,10,1,0.75092,0.93056,0.57128,-0.35928000000000004,5,1.0,5,0,1
recurring,25000,error_threshold,0.2,200,5,100,5,0.97314,0.99412,0.95216,-0.04196,3,0.6,2,1,1
recurring,25000,error_threshold,0.2,200,5,500,20,0.97544,0.99412,0.95676,-0.03735999999999995,1,0.2,1,0,1
recurring,25000,error_threshold,0.2,200,10,10,1,0.63456,0.73584,0.53328,-0.20256000000000007,10,1.0,10,0,1
recurring,25000,error_threshold,0.2,200,10,100,5,0.97334,0.99408,0.9526,-0.04147999999999996,3,0.3,2,1,1
recurring,25000,error_threshold,0.2,200,10,500,20,0.9707,0.99412,0.94728,-0.04683999999999999,2,0.2,1,1,1
recurring,25000,error_threshold,0.2,200,20,10,1,0.62906,0.82432,0.4338,-0.39052000000000003,20,1.0,20,0,1
recurring,25000,error_threshold,0.2,200,20,100,5,0.97564,0.993,0.95828,-0.03471999999999997,3,0.15,2,1,1
recurring,25000,error_threshold,0.2,200,20,500,20,0.97666,0.99388,0.95944,-0.034440000000000026,2,0.1,1,1,1
abrupt,25000,error_threshold,0.2,200,5,10,1,0.68714,0.64716,0.72712,0.07996000000000003,5,1.0,5,0,2
abrupt,25000,error_threshold,0.2,200,5,100,5,0.7832,0.8882,0.6782,-0.20999999999999996,5,1.0,5,0,2
abrupt,25000,error_threshold,0.2,200,5,500,20,0.82788,0.92896,0.7268,-0.20216,5,1.0,5,0,2
abrupt,25000,error_threshold,0.2,200,10,10,1,0.46658,0.67452,0.25864,-0.41588,10,1.0,10,0,2
abrupt,25000,error_threshold,0.2,200,10,100,5,0.80116,0.864,0.73832,-0.12568000000000001,10,1.0,10,0,2
