drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,25000,periodic,,,5,10,1,0.82868,0.73964,0.91772,0.17808000000000002,5,1.0,3,2,1
abrupt,25000,periodic,,,5,100,5,0.84194,0.73964,0.94424,0.2046,5,1.0,3,2,1
abrupt,25000,periodic,,,5,500,20,0.82854,0.73964,0.91744,0.17780000000000007,5,1.0,3,2,1
abrupt,25000,periodic,,,10,10,1,0.89504,0.86984,0.92024,0.0504,10,1.0,5,5,1
abrupt,25000,periodic,,,10,100,5,0.895,0.86984,0.92016,0.05032000000000003,10,1.0,5,5,1
abrupt,25000,periodic,,,10,500,20,0.88674,0.86984,0.90364,0.03380000000000005,10,1.0,5,5,1
abrupt,25000,periodic,,,20,10,1,0.90154,0.93404,0.86904,-0.06499999999999995,20,1.0,10,10,1
abrupt,25000,periodic,,,20,100,5,0.92496,0.93404,0.91588,-0.018159999999999954,20,1.0,10,10,1
abrupt,25000,periodic,,,20,500,20,0.91236,0.93404,0.89068,-0.043359999999999954,20,1.0,10,10,1
gradual,25000,periodic,,,5,10,1,0.83044,0.736,0.92488,0.18888000000000005,5,1.0,3,2,1
gradual,25000,periodic,,,5,100,5,0.83786,0.736,0.93972,0.20372,5,1.0,3,2,1
gradual,25000,periodic,,,5,500,20,0.8411,0.736,0.9462,0.21020000000000005,5,1.0,3,2,1
gradual,25000,periodic,,,10,10,1,0.8995,0.86812,0.93088,0.06276000000000004,10,1.0,5,5,1
gradual,25000,periodic,,,10,100,5,0.89012,0.86812,0.91212,0.04400000000000004,10,1.0,5,5,1
gradual,25000,periodic,,,10,500,20,0.89332,0.86812,0.91852,0.0504,10,1.0,5,5,1
gradual,25000,periodic,,,20,10,1,0.92226,0.93316,0.91136,-0.02180000000000004,20,1.0,10,10,1
gradual,25000,periodic,,,20,100,5,0.9236,0.93316,0.91404,-0.019120000000000026,20,1.0,10,10,1
gradual,25000,periodic,,,20,500,20,0.93134,0.93316,0.92952,-0.0036399999999999766,20,1.0,10,10,1
recurring,25000,periodic,,,5,10,1,0.84196,0.73072,0.9532,0.22248,5,1.0,3,2,1
recurring,25000,periodic,,,5,100,5,0.8293,0.73072,0.92788,0.19716,5,1.0,3,2,1
recurring,25000,periodic,,,5,500,20,0.83128,0.73072,0.93184,0.20111999999999997,5,1.0,3,2,1
recurring,25000,periodic,,,10,10,1,0.84524,0.86532,0.82516,-0.040159999999999973,10,1.0,5,5,1
recurring,25000,periodic,,,10,100,5,0.8458,0.86532,0.82628,-0.039039999999999964,10,1.0,5,5,1
recurring,25000,periodic,,,10,500,20,0.8413,0.86532,0.81728,-0.04803999999999997,10,1.0,5,5,1
recurring,25000,periodic,,,20,10,1,0.9102,0.93192,0.88848,-0.04343999999999992,20,1.0,10,10,1
recurring,25000,periodic,,,20,100,5,0.90748,0.93192,0.88304,-0.048879999999999924,20,1.0,10,10,1
recurring,25000,periodic,,,20,500,20,0.90156,0.93192,0.8712,-0.060719999999999996,20,1.0,10,10,1
abrupt,25000,periodic,,,5,10,1,0.86014,0.82564,0.89464,0.06899999999999995,5,1.0,3,2,2
abrupt,25000,periodic,,,5,100,5,0.84458,0.83008,0.85908,0.028999999999999915,5,1.0,3,2,2
abrupt,25000,periodic,,,5,500,20,0.84944,0.83976,0.85912,0.019360000000000044,5,1.0,3,2,2
abrupt,25000,periodic,,,10,10,1,0.89394,0.86648,0.9214,0.05491999999999997,10,1.0,5,5,2
abrupt,25000,periodic,,,10,100,5,0.90156,0.871,0.93212,0.06111999999999995,10,1.0,5,5,2
abrupt,25000,periodic,,,10,500,20,0.90214,0.86736,0.93692,0.06955999999999996,10,1.0,5,5,2
abrupt,25000,periodic,,,20,10,1,0.88628,0.8672,0.90536,0.03816000000000008,20,1.0,10,10,2
abrupt,25000,periodic,,,20,100,5,0.90674,0.90456,0.90892,0.0043599999999999195,20,1.0,10,10,2
abrupt,25000,periodic,,,20,500,20,0.9093,0.89756,0.92104,0.023479999999999945,20,1.0,10,10,2
gradual,25000,periodic,,,5,10,1,0.8647,0.85276,0.87664,0.023880000000000012,5,1.0,3,2,2
gradual,25000,periodic,,,5,100,5,0.88238,0.84952,0.91524,0.06572,5,1.0,3,2,2
gradual,25000,periodic,,,5,500,20,0.88344,0.83896,0.92792,0.08895999999999993,5,1.0,3,2,2
gradual,25000,periodic,,,10,10,1,0.85394,0.83144,0.87644,0.04500000000000004,10,1.0,5,5,2
gradual,25000,periodic,,,10,100,5,0.90548,0.87884,0.93212,0.053279999999999994,10,1.0,5,5,2
gradual,25000,periodic,,,10,500,20,0.87636,0.85564,0.89708,0.04144000000000003,10,1.0,5,5,2
gradual,25000,periodic,,,20,10,1,0.90502,0.88368,0.92636,0.04267999999999994,20,1.0,10,10,2
gradual,25000,periodic,,,20,100,5,0.88884,0.87552,0.90216,0.026639999999999997,20,1.0,10,10,2
gradual,25000,periodic,,,20,500,20,0.88588,0.87576,0.896,0.020240000000000036,20,1.0,10,10,2
recurring,25000,periodic,,,5,10,1,0.85102,0.82376,0.87828,0.0545199999999999,5,1.0,3,2,2
recurring,25000,periodic,,,5,100,5,0.86456,0.84384,0.88528,0.04143999999999992,5,1.0,3,2,2
recurring,25000,periodic,,,5,500,20,0.82976,0.81052,0.849,0.03847999999999996,5,1.0,3,2,2
recurring,25000,periodic,,,10,10,1,0.84848,0.849,0.84796,-0.0010399999999999299,10,1.0,5,5,2
recurring,25000,periodic,,,10,100,5,0.83466,0.88044,0.78888,-0.09155999999999997,10,1.0,5,5,2
recurring,25000,periodic,,,10,500,20,0.82442,0.86076,0.78808,-0.07267999999999997,10,1.0,5,5,2
recurring,25000,periodic,,,20,10,1,0.83602,0.88212,0.78992,-0.09220000000000006,20,1.0,10,10,2
recurring,25000,periodic,,,20,100,5,0.871,0.9054,0.8366,-0.06879999999999997,20,1.0,10,10,2
recurring,25000,periodic,,,20,500,20,0.8484,0.88948,0.80732,-0.08216000000000001,20,1.0,10,10,2
abrupt,25000,periodic,,,5,10,1,0.7984,0.8196,0.7772,-0.04239999999999999,5,1.0,3,2,3
abrupt,25000,periodic,,,5,100,5,0.82322,0.8196,0.82684,0.007240000000000024,5,1.0,3,2,3
abrupt,25000,periodic,,,5,500,20,0.81488,0.8196,0.81016,-0.009440000000000004,5,1.0,3,2,3
abrupt,25000,periodic,,,10,10,1,0.87372,0.91104,0.8364,-0.07463999999999993,10,1.0,5,5,3
abrupt,25000,periodic,,,10,100,5,0.87418,0.91104,0.83732,-0.07372000000000001,10,1.0,5,5,3
abrupt,25000,periodic,,,10,500,20,0.87596,0.91104,0.84088,-0.07016,10,1.0,5,5,3
abrupt,25000,periodic,,,20,10,1,0.9048,0.95556,0.85404,-0.10151999999999994,20,1.0,10,10,3
abrupt,25000,periodic,,,20,100,5,0.91382,0.95556,0.87208,-0.08348,20,1.0,10,10,3
abrupt,25000,periodic,,,20,500,20,0.9105,0.95556,0.86544,-0.09011999999999998,20,1.0,10,10,3
gradual,25000,periodic,,,5,10,1,0.81858,0.81388,0.82328,0.009399999999999964,5,1.0,3,2,3
gradual,25000,periodic,,,5,100,5,0.82028,0.81388,0.82668,0.012799999999999923,5,1.0,3,2,3
gradual,25000,periodic,,,5,500,20,0.8126,0.81388,0.81132,-0.0025600000000000067,5,1.0,3,2,3
gradual,25000,periodic,,,10,10,1,0.88738,0.90792,0.86684,-0.041079999999999894,10,1.0,5,5,3
gradual,25000,periodic,,,10,100,5,0.89024,0.90792,0.87256,-0.03535999999999995,10,1.0,5,5,3
gradual,25000,periodic,,,10,500,20,0.88756,0.90792,0.8672,-0.04071999999999998,10,1.0,5,5,3
gradual,25000,periodic,,,20,10,1,0.94282,0.95376,0.93188,-0.02188000000000001,20,1.0,10,10,3
