drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,drift_triggered,,500,5,10,1,0.6701,0.6002,0.74,0.13980000000000004,5,1.0,0,5,42
abrupt,5000,drift_triggered,,500,5,10,1,0.5781,0.6272,0.529,-0.09819999999999995,5,1.0,0,5,123
abrupt,5000,drift_triggered,,500,5,10,1,0.614,0.6136,0.6144,0.0007999999999999119,5,1.0,0,5,456
abrupt,5000,drift_triggered,,500,5,10,1,0.5881,0.474,0.7022,0.22820000000000007,5,1.0,0,5,789
abrupt,5000,drift_triggered,,500,5,10,1,0.6214,0.543,0.6998,0.15679999999999994,5,1.0,0,5,1011
abrupt,5000,drift_triggered,,500,5,10,1,0.5603,0.5586,0.562,0.0034000000000000696,5,1.0,5,0,1213
abrupt,5000,drift_triggered,,500,5,10,1,0.662,0.6562,0.6678,0.011599999999999944,0,0.0,0,0,1415
abrupt,5000,drift_triggered,,500,5,10,1,0.516,0.5198,0.5122,-0.007600000000000051,0,0.0,0,0,1617
abrupt,5000,drift_triggered,,500,5,10,1,0.6168,0.6504,0.5832,-0.06719999999999993,5,1.0,0,5,1819
abrupt,5000,drift_triggered,,500,5,10,1,0.5518,0.6164,0.4872,-0.12919999999999993,5,1.0,2,3,2021
abrupt,5000,drift_triggered,,500,5,100,5,0.6031,0.6002,0.606,0.005800000000000027,1,0.2,0,1,42
abrupt,5000,drift_triggered,,500,5,100,5,0.6849,0.6272,0.7426,0.11540000000000006,5,1.0,0,5,123
abrupt,5000,drift_triggered,,500,5,100,5,0.53,0.6136,0.4464,-0.16720000000000002,1,0.2,0,1,456
abrupt,5000,drift_triggered,,500,5,100,5,0.6286,0.474,0.7832,0.30920000000000003,5,1.0,0,5,789
abrupt,5000,drift_triggered,,500,5,100,5,0.6774,0.543,0.8118,0.26879999999999993,5,1.0,0,5,1011
abrupt,5000,drift_triggered,,500,5,100,5,0.5057,0.5748,0.4366,-0.1382,5,1.0,4,1,1213
abrupt,5000,drift_triggered,,500,5,100,5,0.662,0.6562,0.6678,0.011599999999999944,0,0.0,0,0,1415
abrupt,5000,drift_triggered,,500,5,100,5,0.516,0.5198,0.5122,-0.007600000000000051,0,0.0,0,0,1617
abrupt,5000,drift_triggered,,500,5,100,5,0.6577,0.6504,0.665,0.014600000000000057,5,1.0,0,5,1819
abrupt,5000,drift_triggered,,500,5,100,5,0.5861,0.6426,0.5296,-0.11299999999999999,5,1.0,4,1,2021
abrupt,5000,drift_triggered,,500,5,500,20,0.64,0.6002,0.6798,0.0796,2,0.4,0,2,42
abrupt,5000,drift_triggered,,500,5,500,20,0.6185,0.6272,0.6098,-0.01739999999999997,1,0.2,0,1,123
abrupt,5000,drift_triggered,,500,5,500,20,0.6138,0.6136,0.614,0.00039999999999995595,2,0.4,0,2,456
abrupt,5000,drift_triggered,,500,5,500,20,0.5009,0.474,0.5278,0.05380000000000007,2,0.4,0,2,789
abrupt,5000,drift_triggered,,500,5,500,20,0.5749,0.543,0.6068,0.06379999999999997,1,0.2,0,1,1011
abrupt,5000,drift_triggered,,500,5,500,20,0.5333,0.5564,0.5102,-0.04620000000000002,2,0.4,1,1,1213
abrupt,5000,drift_triggered,,500,5,500,20,0.662,0.6562,0.6678,0.011599999999999944,0,0.0,0,0,1415
abrupt,5000,drift_triggered,,500,5,500,20,0.516,0.5198,0.5122,-0.007600000000000051,0,0.0,0,0,1617
abrupt,5000,drift_triggered,,500,5,500,20,0.6189,0.6504,0.5874,-0.06299999999999994,2,0.4,0,2,1819
abrupt,5000,drift_triggered,,500,5,500,20,0.5832,0.6478,0.5186,-0.1292000000000001,2,0.4,1,1,2021
abrupt,5000,drift_triggered,,500,10,10,1,0.5767,0.6002,0.5532,-0.04699999999999993,10,1.0,0,10,42
abrupt,5000,drift_triggered,,500,10,10,1,0.6406,0.6272,0.654,0.026800000000000046,10,1.0,0,10,123
abrupt,5000,drift_triggered,,500,10,10,1,0.6336,0.6136,0.6536,0.039999999999999925,10,1.0,0,10,456
abrupt,5000,drift_triggered,,500,10,10,1,0.4607,0.474,0.4474,-0.026599999999999957,10,1.0,0,10,789
abrupt,5000,drift_triggered,,500,10,10,1,0.6171,0.543,0.6912,0.1482,10,1.0,0,10,1011
abrupt,5000,drift_triggered,,500,10,10,1,0.5301,0.5292,0.531,0.0018000000000000238,10,1.0,10,0,1213
abrupt,5000,drift_triggered,,500,10,10,1,0.662,0.6562,0.6678,0.011599999999999944,0,0.0,0,0,1415
abrupt,5000,drift_triggered,,500,10,10,1,0.516,0.5198,0.5122,-0.007600000000000051,0,0.0,0,0,1617
abrupt,5000,drift_triggered,,500,10,10,1,0.6253,0.6504,0.6002,-0.05020000000000002,10,1.0,0,10,1819
abrupt,5000,drift_triggered,,500,10,10,1,0.6057,0.6104,0.601,-0.009400000000000075,10,1.0,10,0,2021
abrupt,5000,drift_triggered,,500,10,100,5,0.5684,0.6002,0.5366,-0.06359999999999999,1,0.1,0,1,42
abrupt,5000,drift_triggered,,500,10,100,5,0.6946,0.6272,0.762,0.13480000000000003,6,0.6,0,6,123
abrupt,5000,drift_triggered,,500,10,100,5,0.517,0.6136,0.4204,-0.19320000000000004,1,0.1,0,1,456
abrupt,5000,drift_triggered,,500,10,100,5,0.6337,0.474,0.7934,0.3194,6,0.6,0,6,789
abrupt,5000,drift_triggered,,500,10,100,5,0.6622,0.543,0.7814,0.23839999999999995,5,0.5,0,5,1011
abrupt,5000,drift_triggered,,500,10,100,5,0.6533,0.5754,0.7312,0.15579999999999994,10,1.0,4,6,1213
abrupt,5000,drift_triggered,,500,10,100,5,0.662,0.6562,0.6678,0.011599999999999944,0,0.0,0,0,1415
abrupt,5000,drift_triggered,,500,10,100,5,0.516,0.5198,0.5122,-0.007600000000000051,0,0.0,0,0,1617
abrupt,5000,drift_triggered,,500,10,100,5,0.6738,0.6504,0.6972,0.046800000000000064,5,0.5,0,5,1819
abrupt,5000,drift_triggered,,500,10,100,5,0.6577,0.6434,0.672,0.02860000000000007,8,0.8,4,4,2021
abrupt,5000,drift_triggered,,500,10,500,20,0.5574,0.6002,0.5146,-0.08560000000000001,1,0.1,0,1,42
abrupt,5000,drift_triggered,,500,10,500,20,0.5614,0.6272,0.4956,-0.1316,1,0.1,0,1,123
abrupt,5000,drift_triggered,,500,10,500,20,0.5328,0.6136,0.452,-0.16160000000000002,1,0.1,0,1,456
abrupt,5000,drift_triggered,,500,10,500,20,0.4535,0.474,0.433,-0.04099999999999998,1,0.1,0,1,789
abrupt,5000,drift_triggered,,500,10,500,20,0.6658,0.543,0.7886,0.24559999999999993,2,0.2,0,2,1011
abrupt,5000,drift_triggered,,500,10,500,20,0.6455,0.5798,0.7112,0.13140000000000007,3,0.3,1,2,1213
abrupt,5000,drift_triggered,,500,10,500,20,0.662,0.6562,0.6678,0.011599999999999944,0,0.0,0,0,1415
abrupt,5000,drift_triggered,,500,10,500,20,0.516,0.5198,0.5122,-0.007600000000000051,0,0.0,0,0,1617
abrupt,5000,drift_triggered,,500,10,500,20,0.5249,0.6504,0.3994,-0.251,1,0.1,0,1,1819
abrupt,5000,drift_triggered,,500,10,500,20,0.6062,0.6604,0.552,-0.10839999999999994,2,0.2,1,1,2021
abrupt,5000,drift_triggered,,500,20,10,1,0.6442,0.6002,0.6882,0.08800000000000008,20,1.0,0,20,42
abrupt,5000,drift_triggered,,500,20,10,1,0.6457,0.6272,0.6642,0.03700000000000003,19,0.95,0,19,123
abrupt,5000,drift_triggered,,500,20,10,1,0.6547,0.6136,0.6958,0.08219999999999994,20,1.0,0,20,456
abrupt,5000,drift_triggered,,500,20,10,1,0.579,0.474,0.684,0.21000000000000008,20,1.0,0,20,789
abrupt,5000,drift_triggered,,500,20,10,1,0.6564,0.543,0.7698,0.2268,20,1.0,0,20,1011
abrupt,5000,drift_triggered,,500,20,10,1,0.5122,0.524,0.5004,-0.023600000000000065,20,1.0,20,0,1213
abrupt,5000,drift_triggered,,500,20,10,1,0.662,0.6562,0.6678,0.011599999999999944,0,0.0,0,0,1415
abrupt,5000,drift_triggered,,500,20,10,1,0.516,0.5198,0.5122,-0.007600000000000051,0,0.0,0,0,1617
abrupt,5000,drift_triggered,,500,20,10,1,0.6202,0.6504,0.59,-0.06040000000000001,8,0.4,0,8,1819
abrupt,5000,drift_triggered,,500,20,10,1,0.5719,0.6022,0.5416,-0.06059999999999999,9,0.45,8,1,2021
abrupt,5000,drift_triggered,,500,20,100,5,0.5561,0.6002,0.512,-0.08819999999999995,1,0.05,0,1,42
abrupt,5000,drift_triggered,,500,20,100,5,0.6847,0.6272,0.7422,0.11499999999999999,6,0.3,0,6,123
abrupt,5000,drift_triggered,,500,20,100,5,0.6643,0.6136,0.715,0.10139999999999993,6,0.3,0,6,456
abrupt,5000,drift_triggered,,500,20,100,5,0.6257,0.474,0.7774,0.3034,6,0.3,0,6,789
abrupt,5000,drift_triggered,,500,20,100,5,0.6798,0.543,0.8166,0.27359999999999995,5,0.25,0,5,1011
