drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,error_threshold,0.27,200,5,10,1,0.6186,0.7228,0.5144,-0.20840000000000003,5,1.0,5,0,42
abrupt,5000,error_threshold,0.27,200,5,10,1,0.5537,0.575,0.5324,-0.04259999999999997,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,10,1,0.4883,0.534,0.4426,-0.09140000000000004,5,1.0,5,0,456
abrupt,5000,error_threshold,0.27,200,5,10,1,0.5418,0.6632,0.4204,-0.24280000000000002,5,1.0,5,0,789
abrupt,5000,error_threshold,0.27,200,5,10,1,0.6677,0.782,0.5534,-0.22860000000000003,5,1.0,5,0,1011
abrupt,5000,error_threshold,0.27,200,5,10,1,0.5906,0.667,0.5142,-0.15280000000000005,5,1.0,5,0,1213
abrupt,5000,error_threshold,0.27,200,5,10,1,0.6359,0.666,0.6058,-0.06020000000000003,5,1.0,5,0,1415
abrupt,5000,error_threshold,0.27,200,5,10,1,0.5251,0.6048,0.4454,-0.1594,5,1.0,5,0,1617
abrupt,5000,error_threshold,0.27,200,5,10,1,0.4878,0.6136,0.362,-0.25160000000000005,5,1.0,5,0,1819
abrupt,5000,error_threshold,0.27,200,5,10,1,0.6649,0.7684,0.5614,-0.20699999999999996,5,1.0,5,0,2021
abrupt,5000,error_threshold,0.27,200,5,100,5,0.662,0.8024,0.5216,-0.28080000000000005,5,1.0,4,1,42
abrupt,5000,error_threshold,0.27,200,5,100,5,0.655,0.7168,0.5932,-0.12360000000000004,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,100,5,0.7803,0.784,0.7766,-0.007400000000000073,5,1.0,3,2,456
abrupt,5000,error_threshold,0.27,200,5,100,5,0.5488,0.8002,0.2974,-0.5028,5,1.0,5,0,789
abrupt,5000,error_threshold,0.27,200,5,100,5,0.7028,0.7736,0.632,-0.14159999999999995,5,1.0,4,1,1011
abrupt,5000,error_threshold,0.27,200,5,100,5,0.5547,0.7114,0.398,-0.3134,5,1.0,5,0,1213
abrupt,5000,error_threshold,0.27,200,5,100,5,0.7111,0.7454,0.6768,-0.0686,5,1.0,5,0,1415
abrupt,5000,error_threshold,0.27,200,5,100,5,0.5304,0.7364,0.3244,-0.41200000000000003,5,1.0,5,0,1617
abrupt,5000,error_threshold,0.27,200,5,100,5,0.7222,0.791,0.6534,-0.13760000000000006,5,1.0,3,2,1819
abrupt,5000,error_threshold,0.27,200,5,100,5,0.7558,0.8114,0.7002,-0.11119999999999997,5,1.0,3,2,2021
abrupt,5000,error_threshold,0.27,200,5,500,20,0.6727,0.767,0.5784,-0.1886,5,1.0,5,0,42
abrupt,5000,error_threshold,0.27,200,5,500,20,0.638,0.7238,0.5522,-0.17159999999999997,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7884,0.8078,0.769,-0.038799999999999946,3,0.6,1,2,456
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7728,0.7834,0.7622,-0.021199999999999997,4,0.8,2,2,789
abrupt,5000,error_threshold,0.27,200,5,500,20,0.794,0.7794,0.8086,0.029200000000000004,5,1.0,3,2,1011
abrupt,5000,error_threshold,0.27,200,5,500,20,0.5908,0.728,0.4536,-0.2744,5,1.0,5,0,1213
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7238,0.7678,0.6798,-0.08800000000000008,5,1.0,5,0,1415
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7393,0.7644,0.7142,-0.05020000000000002,5,1.0,4,1,1617
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7218,0.7788,0.6648,-0.1140000000000001,5,1.0,2,3,1819
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7381,0.795,0.6812,-0.11380000000000001,5,1.0,3,2,2021
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5057,0.5626,0.4488,-0.11380000000000001,10,1.0,10,0,42
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5336,0.6164,0.4508,-0.16559999999999997,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5545,0.593,0.516,-0.07699999999999996,10,1.0,10,0,456
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5258,0.6216,0.43,-0.19160000000000005,10,1.0,10,0,789
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5503,0.6204,0.4802,-0.14019999999999994,10,1.0,10,0,1011
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5625,0.6246,0.5004,-0.12420000000000009,10,1.0,10,0,1213
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5619,0.6436,0.4802,-0.16339999999999993,10,1.0,10,0,1415
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5632,0.5614,0.565,0.0035999999999999366,10,1.0,10,0,1617
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5865,0.73,0.443,-0.287,10,1.0,10,0,1819
abrupt,5000,error_threshold,0.27,200,10,10,1,0.5991,0.6356,0.5626,-0.07300000000000006,10,1.0,10,0,2021
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7288,0.7838,0.6738,-0.1100000000000001,10,1.0,3,7,42
abrupt,5000,error_threshold,0.27,200,10,100,5,0.605,0.7098,0.5002,-0.2096,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7966,0.7976,0.7956,-0.0020000000000000018,6,0.6,3,3,456
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7638,0.776,0.7516,-0.024399999999999977,10,1.0,4,6,789
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7961,0.7858,0.8064,0.02059999999999995,7,0.7,3,4,1011
abrupt,5000,error_threshold,0.27,200,10,100,5,0.5967,0.726,0.4674,-0.2586,10,1.0,10,0,1213
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7043,0.773,0.6356,-0.13739999999999997,10,1.0,10,0,1415
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7851,0.796,0.7742,-0.02180000000000004,10,1.0,7,3,1617
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7393,0.788,0.6906,-0.09740000000000004,10,1.0,7,3,1819
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7527,0.7966,0.7088,-0.08779999999999999,10,1.0,3,7,2021
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7462,0.7768,0.7156,-0.06120000000000003,10,1.0,3,7,42
abrupt,5000,error_threshold,0.27,200,10,500,20,0.6165,0.7152,0.5178,-0.1973999999999999,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7843,0.8128,0.7558,-0.05699999999999994,5,0.5,2,3,456
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7828,0.7944,0.7712,-0.0232,4,0.4,2,2,789
abrupt,5000,error_threshold,0.27,200,10,500,20,0.8134,0.7956,0.8312,0.035600000000000076,3,0.3,1,2,1011
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7556,0.7438,0.7674,0.023599999999999954,8,0.8,6,2,1213
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7684,0.7648,0.772,0.007199999999999984,10,1.0,6,4,1415
abrupt,5000,error_threshold,0.27,200,10,500,20,0.8016,0.7788,0.8244,0.045599999999999974,5,0.5,3,2,1617
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7378,0.7756,0.7,-0.0756,10,1.0,3,7,1819
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7423,0.789,0.6956,-0.09340000000000004,10,1.0,3,7,2021
abrupt,5000,error_threshold,0.27,200,20,10,1,0.5671,0.6564,0.4778,-0.17859999999999998,20,1.0,20,0,42
abrupt,5000,error_threshold,0.27,200,20,10,1,0.5036,0.5384,0.4688,-0.0696,20,1.0,20,0,123
abrupt,5000,error_threshold,0.27,200,20,10,1,0.5783,0.7018,0.4548,-0.247,20,1.0,20,0,456
abrupt,5000,error_threshold,0.27,200,20,10,1,0.5933,0.7192,0.4674,-0.25179999999999997,20,1.0,20,0,789
abrupt,5000,error_threshold,0.27,200,20,10,1,0.5807,0.6328,0.5286,-0.10420000000000007,20,1.0,20,0,1011
abrupt,5000,error_threshold,0.27,200,20,10,1,0.5605,0.6174,0.5036,-0.1137999999999999,20,1.0,20,0,1213
abrupt,5000,error_threshold,0.27,200,20,10,1,0.6471,0.6262,0.668,0.04180000000000006,20,1.0,20,0,1415
abrupt,5000,error_threshold,0.27,200,20,10,1,0.595,0.7114,0.4786,-0.2328,20,1.0,20,0,1617
abrupt,5000,error_threshold,0.27,200,20,10,1,0.4807,0.6436,0.3178,-0.3257999999999999,20,1.0,20,0,1819
abrupt,5000,error_threshold,0.27,200,20,10,1,0.6546,0.6994,0.6098,-0.08960000000000001,20,1.0,20,0,2021
abrupt,5000,error_threshold,0.27,200,20,100,5,0.7553,0.7818,0.7288,-0.05300000000000005,20,1.0,5,15,42
abrupt,5000,error_threshold,0.27,200,20,100,5,0.5818,0.7142,0.4494,-0.2647999999999999,20,1.0,20,0,123
abrupt,5000,error_threshold,0.27,200,20,100,5,0.8029,0.8214,0.7844,-0.03700000000000003,7,0.35,2,5,456
abrupt,5000,error_threshold,0.27,200,20,100,5,0.789,0.7794,0.7986,0.019199999999999995,10,0.5,6,4,789
abrupt,5000,error_threshold,0.27,200,20,100,5,0.8159,0.7948,0.837,0.042200000000000015,6,0.3,4,2,1011
abrupt,5000,error_threshold,0.27,200,20,100,5,0.576,0.7304,0.4216,-0.3088000000000001,20,1.0,20,0,1213
abrupt,5000,error_threshold,0.27,200,20,100,5,0.7349,0.7676,0.7022,-0.0653999999999999,20,1.0,12,8,1415
abrupt,5000,error_threshold,0.27,200,20,100,5,0.7733,0.7528,0.7938,0.040999999999999925,15,0.75,11,4,1617
abrupt,5000,error_threshold,0.27,200,20,100,5,0.7419,0.7732,0.7106,-0.06259999999999999,20,1.0,10,10,1819
abrupt,5000,error_threshold,0.27,200,20,100,5,0.7204,0.7666,0.6742,-0.09239999999999993,20,1.0,4,16,2021
