drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,no_retrain,,,0,0,0,0.5393,0.6002,0.4784,-0.12179999999999996,0,0.0,0,0,42
abrupt,5000,no_retrain,,,0,0,0,0.5806,0.6272,0.534,-0.09319999999999995,0,0.0,0,0,123
abrupt,5000,no_retrain,,,0,0,0,0.5651,0.6136,0.5166,-0.09700000000000009,0,0.0,0,0,456
abrupt,5000,no_retrain,,,0,0,0,0.4831,0.474,0.4922,0.01820000000000005,0,0.0,0,0,789
abrupt,5000,no_retrain,,,0,0,0,0.4697,0.543,0.3964,-0.14660000000000006,0,0.0,0,0,1011
abrupt,5000,no_retrain,,,0,0,0,0.5028,0.5022,0.5034,0.0011999999999999789,0,0.0,0,0,1213
abrupt,5000,no_retrain,,,0,0,0,0.662,0.6562,0.6678,0.011599999999999944,0,0.0,0,0,1415
abrupt,5000,no_retrain,,,0,0,0,0.516,0.5198,0.5122,-0.007600000000000051,0,0.0,0,0,1617
abrupt,5000,no_retrain,,,0,0,0,0.4837,0.6504,0.317,-0.3334,0,0.0,0,0,1819
abrupt,5000,no_retrain,,,0,0,0,0.5345,0.5922,0.4768,-0.11539999999999995,0,0.0,0,0,2021
gradual,5000,no_retrain,,,0,0,0,0.547,0.6002,0.4938,-0.10639999999999994,0,0.0,0,0,42
gradual,5000,no_retrain,,,0,0,0,0.5846,0.6272,0.542,-0.08519999999999994,0,0.0,0,0,123
gradual,5000,no_retrain,,,0,0,0,0.5715,0.6136,0.5294,-0.08420000000000005,0,0.0,0,0,456
gradual,5000,no_retrain,,,0,0,0,0.4811,0.474,0.4882,0.014200000000000046,0,0.0,0,0,789
gradual,5000,no_retrain,,,0,0,0,0.4766,0.543,0.4102,-0.13280000000000003,0,0.0,0,0,1011
gradual,5000,no_retrain,,,0,0,0,0.5034,0.5022,0.5046,0.0024000000000000687,0,0.0,0,0,1213
gradual,5000,no_retrain,,,0,0,0,0.663,0.6562,0.6698,0.013599999999999945,0,0.0,0,0,1415
gradual,5000,no_retrain,,,0,0,0,0.5177,0.5198,0.5156,-0.0042000000000000925,0,0.0,0,0,1617
gradual,5000,no_retrain,,,0,0,0,0.5036,0.6504,0.3568,-0.29359999999999997,0,0.0,0,0,1819
gradual,5000,no_retrain,,,0,0,0,0.5434,0.5922,0.4946,-0.09759999999999996,0,0.0,0,0,2021
recurring,5000,no_retrain,,,0,0,0,0.5619,0.6002,0.5236,-0.0766,0,0.0,0,0,42
recurring,5000,no_retrain,,,0,0,0,0.6041,0.6272,0.581,-0.04620000000000002,0,0.0,0,0,123
recurring,5000,no_retrain,,,0,0,0,0.5821,0.6136,0.5506,-0.06300000000000006,0,0.0,0,0,456
recurring,5000,no_retrain,,,0,0,0,0.4823,0.474,0.4906,0.016600000000000004,0,0.0,0,0,789
recurring,5000,no_retrain,,,0,0,0,0.4985,0.543,0.454,-0.08900000000000002,0,0.0,0,0,1011
recurring,5000,no_retrain,,,0,0,0,0.5,0.5022,0.4978,-0.0043999999999999595,0,0.0,0,0,1213
recurring,5000,no_retrain,,,0,0,0,0.6585,0.6562,0.6608,0.0046000000000000485,0,0.0,0,0,1415
recurring,5000,no_retrain,,,0,0,0,0.5223,0.5198,0.5248,0.0050000000000000044,0,0.0,0,0,1617
recurring,5000,no_retrain,,,0,0,0,0.5525,0.6504,0.4546,-0.19579999999999997,0,0.0,0,0,1819
recurring,5000,no_retrain,,,0,0,0,0.5507,0.5922,0.5092,-0.08299999999999996,0,0.0,0,0,2021
