drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,periodic,,,5,10,1,0.6855,0.7208,0.6502,-0.0706,5,1.0,3,2,42
abrupt,5000,periodic,,,5,10,1,0.687,0.6876,0.6864,-0.0011999999999999789,5,1.0,3,2,123
abrupt,5000,periodic,,,5,10,1,0.6875,0.7398,0.6352,-0.10460000000000003,5,1.0,3,2,456
abrupt,5000,periodic,,,5,100,5,0.6746,0.7188,0.6304,-0.08840000000000003,5,1.0,3,2,42
abrupt,5000,periodic,,,5,100,5,0.6655,0.6792,0.6518,-0.02739999999999998,5,1.0,3,2,123
abrupt,5000,periodic,,,5,100,5,0.6791,0.7368,0.6214,-0.11540000000000006,5,1.0,3,2,456
abrupt,5000,periodic,,,5,500,20,0.6755,0.7064,0.6446,-0.06180000000000008,5,1.0,3,2,42
abrupt,5000,periodic,,,5,500,20,0.6629,0.6832,0.6426,-0.04060000000000008,5,1.0,3,2,123
abrupt,5000,periodic,,,5,500,20,0.6761,0.7478,0.6044,-0.14339999999999997,5,1.0,3,2,456
abrupt,5000,periodic,,,10,10,1,0.7119,0.7504,0.6734,-0.07699999999999996,10,1.0,5,5,42
abrupt,5000,periodic,,,10,10,1,0.7072,0.7016,0.7128,0.011199999999999988,10,1.0,5,5,123
abrupt,5000,periodic,,,10,10,1,0.7462,0.7898,0.7026,-0.08719999999999994,10,1.0,5,5,456
abrupt,5000,periodic,,,10,100,5,0.7133,0.7278,0.6988,-0.029000000000000026,10,1.0,5,5,42
abrupt,5000,periodic,,,10,100,5,0.7293,0.7194,0.7392,0.01979999999999993,10,1.0,5,5,123
abrupt,5000,periodic,,,10,100,5,0.7529,0.7738,0.732,-0.04180000000000006,10,1.0,5,5,456
abrupt,5000,periodic,,,10,500,20,0.7204,0.7428,0.698,-0.04480000000000006,10,1.0,5,5,42
abrupt,5000,periodic,,,10,500,20,0.7061,0.6844,0.7278,0.043399999999999994,10,1.0,5,5,123
abrupt,5000,periodic,,,10,500,20,0.7485,0.787,0.71,-0.07700000000000007,10,1.0,5,5,456
abrupt,5000,periodic,,,20,10,1,0.7418,0.782,0.7016,-0.08040000000000003,20,1.0,10,10,42
abrupt,5000,periodic,,,20,10,1,0.7227,0.7064,0.739,0.03259999999999996,20,1.0,10,10,123
abrupt,5000,periodic,,,20,10,1,0.7753,0.8044,0.7462,-0.05820000000000003,20,1.0,10,10,456
abrupt,5000,periodic,,,20,100,5,0.7214,0.7462,0.6966,-0.04959999999999998,20,1.0,10,10,42
abrupt,5000,periodic,,,20,100,5,0.7299,0.7082,0.7516,0.043399999999999994,20,1.0,10,10,123
abrupt,5000,periodic,,,20,100,5,0.779,0.8012,0.7568,-0.044399999999999995,20,1.0,10,10,456
abrupt,5000,periodic,,,20,500,20,0.7227,0.747,0.6984,-0.04859999999999998,10,0.5,5,5,42
abrupt,5000,periodic,,,20,500,20,0.7155,0.7074,0.7236,0.016199999999999992,10,0.5,5,5,123
abrupt,5000,periodic,,,20,500,20,0.7448,0.7852,0.7044,-0.08079999999999998,10,0.5,5,5,456
gradual,5000,periodic,,,5,10,1,0.6773,0.6952,0.6594,-0.035800000000000054,5,1.0,3,2,42
gradual,5000,periodic,,,5,10,1,0.6989,0.6896,0.7082,0.01860000000000006,5,1.0,3,2,123
gradual,5000,periodic,,,5,10,1,0.6891,0.7362,0.642,-0.09419999999999995,5,1.0,3,2,456
gradual,5000,periodic,,,5,100,5,0.6582,0.688,0.6284,-0.059599999999999986,5,1.0,3,2,42
gradual,5000,periodic,,,5,100,5,0.6917,0.6924,0.691,-0.0014000000000000679,5,1.0,3,2,123
gradual,5000,periodic,,,5,100,5,0.7122,0.7406,0.6838,-0.05680000000000007,5,1.0,3,2,456
gradual,5000,periodic,,,5,500,20,0.6943,0.7276,0.661,-0.06659999999999999,5,1.0,3,2,42
gradual,5000,periodic,,,5,500,20,0.6696,0.6902,0.649,-0.041200000000000014,5,1.0,3,2,123
gradual,5000,periodic,,,5,500,20,0.7017,0.7364,0.667,-0.06940000000000002,5,1.0,3,2,456
gradual,5000,periodic,,,10,10,1,0.7246,0.75,0.6992,-0.050799999999999956,10,1.0,5,5,42
gradual,5000,periodic,,,10,10,1,0.7034,0.7026,0.7042,0.0016000000000000458,10,1.0,5,5,123
gradual,5000,periodic,,,10,10,1,0.7549,0.7802,0.7296,-0.05059999999999998,10,1.0,5,5,456
gradual,5000,periodic,,,10,100,5,0.7211,0.7376,0.7046,-0.03300000000000003,10,1.0,5,5,42
gradual,5000,periodic,,,10,100,5,0.7117,0.695,0.7284,0.033400000000000096,10,1.0,5,5,123
gradual,5000,periodic,,,10,100,5,0.7508,0.7932,0.7084,-0.08479999999999999,10,1.0,5,5,456
gradual,5000,periodic,,,10,500,20,0.7211,0.7164,0.7258,0.009399999999999964,10,1.0,5,5,42
gradual,5000,periodic,,,10,500,20,0.7001,0.7198,0.6804,-0.03939999999999999,10,1.0,5,5,123
gradual,5000,periodic,,,10,500,20,0.745,0.7658,0.7242,-0.04160000000000008,10,1.0,5,5,456
gradual,5000,periodic,,,20,10,1,0.7361,0.7478,0.7244,-0.023399999999999976,20,1.0,10,10,42
gradual,5000,periodic,,,20,10,1,0.7155,0.697,0.734,0.03700000000000003,20,1.0,10,10,123
gradual,5000,periodic,,,20,10,1,0.7931,0.8166,0.7696,-0.04700000000000004,20,1.0,10,10,456
gradual,5000,periodic,,,20,100,5,0.7338,0.7506,0.717,-0.033600000000000074,20,1.0,10,10,42
gradual,5000,periodic,,,20,100,5,0.7215,0.7058,0.7372,0.031399999999999983,20,1.0,10,10,123
gradual,5000,periodic,,,20,100,5,0.7831,0.803,0.7632,-0.03980000000000006,20,1.0,10,10,456
gradual,5000,periodic,,,20,500,20,0.7215,0.765,0.678,-0.08699999999999997,10,0.5,5,5,42
gradual,5000,periodic,,,20,500,20,0.7163,0.7102,0.7224,0.012199999999999989,10,0.5,5,5,123
gradual,5000,periodic,,,20,500,20,0.7611,0.785,0.7372,-0.047800000000000065,10,0.5,5,5,456
recurring,5000,periodic,,,5,10,1,0.6494,0.7024,0.5964,-0.10599999999999998,5,1.0,3,2,42
recurring,5000,periodic,,,5,10,1,0.6265,0.673,0.58,-0.09300000000000008,5,1.0,3,2,123
recurring,5000,periodic,,,5,10,1,0.6474,0.7562,0.5386,-0.21760000000000002,5,1.0,3,2,456
recurring,5000,periodic,,,5,100,5,0.6623,0.694,0.6306,-0.0633999999999999,5,1.0,3,2,42
recurring,5000,periodic,,,5,100,5,0.6729,0.7016,0.6442,-0.05740000000000001,5,1.0,3,2,123
recurring,5000,periodic,,,5,100,5,0.6397,0.7468,0.5326,-0.21420000000000006,5,1.0,3,2,456
recurring,5000,periodic,,,5,500,20,0.6638,0.7112,0.6164,-0.0948000000000001,5,1.0,3,2,42
recurring,5000,periodic,,,5,500,20,0.6545,0.672,0.637,-0.03500000000000003,5,1.0,3,2,123
recurring,5000,periodic,,,5,500,20,0.6373,0.7404,0.5342,-0.20619999999999994,5,1.0,3,2,456
recurring,5000,periodic,,,10,10,1,0.6159,0.7448,0.487,-0.25780000000000003,10,1.0,5,5,42
recurring,5000,periodic,,,10,10,1,0.6451,0.6962,0.594,-0.10220000000000007,10,1.0,5,5,123
recurring,5000,periodic,,,10,10,1,0.5912,0.7932,0.3892,-0.404,10,1.0,5,5,456
recurring,5000,periodic,,,10,100,5,0.6399,0.7566,0.5232,-0.23340000000000005,10,1.0,5,5,42
recurring,5000,periodic,,,10,100,5,0.6049,0.6994,0.5104,-0.18900000000000006,10,1.0,5,5,123
recurring,5000,periodic,,,10,100,5,0.5987,0.7744,0.423,-0.3514,10,1.0,5,5,456
recurring,5000,periodic,,,10,500,20,0.6364,0.7284,0.5444,-0.18400000000000005,10,1.0,5,5,42
recurring,5000,periodic,,,10,500,20,0.6221,0.6856,0.5586,-0.127,10,1.0,5,5,123
recurring,5000,periodic,,,10,500,20,0.5992,0.7918,0.4066,-0.38519999999999993,10,1.0,5,5,456
recurring,5000,periodic,,,20,10,1,0.6976,0.7648,0.6304,-0.13440000000000007,20,1.0,10,10,42
recurring,5000,periodic,,,20,10,1,0.6629,0.6956,0.6302,-0.06540000000000001,20,1.0,10,10,123
recurring,5000,periodic,,,20,10,1,0.7035,0.7944,0.6126,-0.18179999999999996,20,1.0,10,10,456
recurring,5000,periodic,,,20,100,5,0.707,0.763,0.651,-0.11199999999999999,20,1.0,10,10,42
recurring,5000,periodic,,,20,100,5,0.6731,0.6962,0.65,-0.04620000000000002,20,1.0,10,10,123
recurring,5000,periodic,,,20,100,5,0.7047,0.8076,0.6018,-0.20579999999999998,20,1.0,10,10,456
recurring,5000,periodic,,,20,500,20,0.6317,0.7212,0.5422,-0.17899999999999994,10,0.5,5,5,42
recurring,5000,periodic,,,20,500,20,0.5914,0.6814,0.5014,-0.18000000000000005,10,0.5,5,5,123
recurring,5000,periodic,,,20,500,20,0.5773,0.7888,0.3658,-0.42299999999999993,10,0.5,5,5,456
