policy_type,drift_type,mean,std,count
drift_triggered,abrupt,0.9573185185185186,0.02208465246826111,27
drift_triggered,gradual,0.9552,0.01363393052419081,27
drift_triggered,recurring,0.9693629629629629,0.013119413335504286,27
error_threshold,abrupt,0.9576355555555556,0.02204964561608359,27
error_threshold,gradual,0.9562266666666667,0.015059954029963605,27
error_threshold,recurring,0.9707955555555555,0.01227850320786867,27
no_retrain,abrupt,0.95628,0.024171884494180406,3
no_retrain,gradual,0.9552,0.0163859451970278,3
no_retrain,recurring,0.96904,0.011718498197294761,3
periodic,abrupt,0.9526562962962963,0.025168283482337322,27
periodic,gradual,0.9520414814814815,0.01662798930989636,27
periodic,recurring,0.9675259259259259,0.014687232356778317,27
