drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,drift_triggered,,500,5,10,1,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,10,1,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,10,1,0.802,0.8202,0.7838,-0.03639999999999999,5,1.0,0,5,456
abrupt,5000,drift_triggered,,500,5,10,1,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,drift_triggered,,500,5,10,1,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,drift_triggered,,500,5,10,1,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,drift_triggered,,500,5,10,1,0.7677,0.7704,0.765,-0.00539999999999996,3,0.6,2,1,1415
abrupt,5000,drift_triggered,,500,5,10,1,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,drift_triggered,,500,5,10,1,0.7523,0.79,0.7146,-0.07540000000000002,5,1.0,0,5,1819
abrupt,5000,drift_triggered,,500,5,10,1,0.7446,0.7966,0.6926,-0.10399999999999998,2,0.4,0,2,2021
abrupt,5000,drift_triggered,,500,5,100,5,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
abrupt,5000,drift_triggered,,500,5,100,5,0.7395,0.714,0.765,0.051000000000000045,0,0.0,0,0,123
abrupt,5000,drift_triggered,,500,5,100,5,0.8041,0.8202,0.788,-0.032200000000000006,3,0.6,0,3,456
abrupt,5000,drift_triggered,,500,5,100,5,0.8159,0.7942,0.8376,0.043399999999999994,0,0.0,0,0,789
abrupt,5000,drift_triggered,,500,5,100,5,0.8251,0.8108,0.8394,0.02860000000000007,0,0.0,0,0,1011
abrupt,5000,drift_triggered,,500,5,100,5,0.7614,0.7206,0.8022,0.0816,0,0.0,0,0,1213
abrupt,5000,drift_triggered,,500,5,100,5,0.7718,0.772,0.7716,-0.00040000000000006697,1,0.2,1,0,1415
abrupt,5000,drift_triggered,,500,5,100,5,0.8053,0.7828,0.8278,0.04499999999999993,0,0.0,0,0,1617
abrupt,5000,drift_triggered,,500,5,100,5,0.7502,0.79,0.7104,-0.0796,1,0.2,0,1,1819
abrupt,5000,drift_triggered,,500,5,100,5,0.7436,0.7966,0.6906,-0.10599999999999998,2,0.4,0,2,2021
abrupt,5000,drift_triggered,,500,5,500,20,0.7529,0.7732,0.7326,-0.04059999999999997,0,0.0,0,0,42
