drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,periodic,,,5,2,1,0.7472,0.7682,0.7262,-0.04200000000000004,5,1.0,3,2,42
abrupt,5000,periodic,,,5,2,1,0.7345,0.7124,0.7566,0.04420000000000002,5,1.0,3,2,123
abrupt,5000,periodic,,,5,2,1,0.8027,0.8214,0.784,-0.03739999999999999,5,1.0,3,2,456
abrupt,5000,periodic,,,5,2000,50,0.7533,0.7722,0.7344,-0.037799999999999945,3,0.6,2,1,42
abrupt,5000,periodic,,,5,2000,50,0.7363,0.7124,0.7602,0.047799999999999954,3,0.6,2,1,123
abrupt,5000,periodic,,,5,2000,50,0.8065,0.8218,0.7912,-0.03059999999999996,3,0.6,2,1,456
abrupt,5000,periodic,,,10,2,1,0.7472,0.7656,0.7288,-0.036799999999999944,10,1.0,5,5,42
abrupt,5000,periodic,,,10,2,1,0.7372,0.7172,0.7572,0.040000000000000036,10,1.0,5,5,123
abrupt,5000,periodic,,,10,2,1,0.8062,0.8214,0.791,-0.030399999999999983,10,1.0,5,5,456
abrupt,5000,periodic,,,10,2000,50,0.753,0.7742,0.7318,-0.04239999999999999,4,0.4,2,2,42
abrupt,5000,periodic,,,10,2000,50,0.738,0.7148,0.7612,0.0464,4,0.4,2,2,123
abrupt,5000,periodic,,,10,2000,50,0.8026,0.8188,0.7864,-0.032399999999999984,4,0.4,2,2,456
abrupt,5000,periodic,,,20,2,1,0.7506,0.7722,0.729,-0.043200000000000016,20,1.0,10,10,42
abrupt,5000,periodic,,,20,2,1,0.7361,0.7074,0.7648,0.05740000000000001,20,1.0,10,10,123
abrupt,5000,periodic,,,20,2,1,0.8072,0.82,0.7944,-0.025599999999999956,20,1.0,10,10,456
abrupt,5000,periodic,,,20,2000,50,0.7485,0.77,0.727,-0.04300000000000004,4,0.2,2,2,42
abrupt,5000,periodic,,,20,2000,50,0.7384,0.7126,0.7642,0.05159999999999998,4,0.2,2,2,123
abrupt,5000,periodic,,,20,2000,50,0.8046,0.8236,0.7856,-0.038000000000000034,4,0.2,2,2,456
gradual,5000,periodic,,,5,2,1,0.7484,0.7732,0.7236,-0.04959999999999998,5,1.0,3,2,42
gradual,5000,periodic,,,5,2,1,0.7323,0.7098,0.7548,0.04500000000000004,5,1.0,3,2,123
gradual,5000,periodic,,,5,2,1,0.8017,0.8212,0.7822,-0.039000000000000035,5,1.0,3,2,456
gradual,5000,periodic,,,5,2000,50,0.7484,0.7702,0.7266,-0.04359999999999997,3,0.6,2,1,42
gradual,5000,periodic,,,5,2000,50,0.7334,0.712,0.7548,0.04280000000000006,3,0.6,2,1,123
gradual,5000,periodic,,,5,2000,50,0.8038,0.8218,0.7858,-0.03599999999999992,3,0.6,2,1,456
gradual,5000,periodic,,,10,2,1,0.7484,0.773,0.7238,-0.04920000000000002,10,1.0,5,5,42
gradual,5000,periodic,,,10,2,1,0.7348,0.7148,0.7548,0.040000000000000036,10,1.0,5,5,123
gradual,5000,periodic,,,10,2,1,0.7999,0.8228,0.777,-0.04579999999999995,10,1.0,5,5,456
gradual,5000,periodic,,,10,2000,50,0.7494,0.7712,0.7276,-0.04359999999999997,4,0.4,2,2,42
gradual,5000,periodic,,,10,2000,50,0.7304,0.7134,0.7474,0.03399999999999992,4,0.4,2,2,123
gradual,5000,periodic,,,10,2000,50,0.7984,0.8204,0.7764,-0.04400000000000004,4,0.4,2,2,456
gradual,5000,periodic,,,20,2,1,0.7521,0.7766,0.7276,-0.04899999999999993,20,1.0,10,10,42
gradual,5000,periodic,,,20,2,1,0.7304,0.7052,0.7556,0.0504,20,1.0,10,10,123
gradual,5000,periodic,,,20,2,1,0.8011,0.8186,0.7836,-0.03500000000000003,20,1.0,10,10,456
gradual,5000,periodic,,,20,2000,50,0.75,0.7726,0.7274,-0.04519999999999991,4,0.2,2,2,42
gradual,5000,periodic,,,20,2000,50,0.7297,0.7128,0.7466,0.03380000000000005,4,0.2,2,2,123
gradual,5000,periodic,,,20,2000,50,0.8015,0.8224,0.7806,-0.04180000000000006,4,0.2,2,2,456
recurring,5000,periodic,,,5,2,1,0.7565,0.7716,0.7414,-0.030200000000000005,5,1.0,3,2,42
recurring,5000,periodic,,,5,2,1,0.7236,0.7108,0.7364,0.025600000000000067,5,1.0,3,2,123
recurring,5000,periodic,,,5,2,1,0.8102,0.8236,0.7968,-0.026800000000000046,5,1.0,3,2,456
recurring,5000,periodic,,,5,2000,50,0.7574,0.7716,0.7432,-0.02839999999999998,3,0.6,2,1,42
recurring,5000,periodic,,,5,2000,50,0.7219,0.712,0.7318,0.01980000000000004,3,0.6,2,1,123
recurring,5000,periodic,,,5,2000,50,0.809,0.8208,0.7972,-0.023599999999999954,3,0.6,2,1,456
recurring,5000,periodic,,,10,2,1,0.7586,0.7726,0.7446,-0.027999999999999914,10,1.0,5,5,42
recurring,5000,periodic,,,10,2,1,0.7224,0.711,0.7338,0.022800000000000042,10,1.0,5,5,123
recurring,5000,periodic,,,10,2,1,0.808,0.8228,0.7932,-0.02959999999999996,10,1.0,5,5,456
recurring,5000,periodic,,,10,2000,50,0.7584,0.771,0.7458,-0.0252,4,0.4,2,2,42
recurring,5000,periodic,,,10,2000,50,0.7252,0.7142,0.7362,0.02200000000000002,4,0.4,2,2,123
recurring,5000,periodic,,,10,2000,50,0.8124,0.8222,0.8026,-0.019600000000000062,4,0.4,2,2,456
recurring,5000,periodic,,,20,2,1,0.7563,0.771,0.7416,-0.02939999999999998,20,1.0,10,10,42
recurring,5000,periodic,,,20,2,1,0.7249,0.7132,0.7366,0.023400000000000087,20,1.0,10,10,123
recurring,5000,periodic,,,20,2,1,0.8044,0.818,0.7908,-0.027200000000000002,20,1.0,10,10,456
recurring,5000,periodic,,,20,2000,50,0.7566,0.7708,0.7424,-0.028400000000000092,4,0.2,2,2,42
recurring,5000,periodic,,,20,2000,50,0.7245,0.7136,0.7354,0.02180000000000004,4,0.2,2,2,123
recurring,5000,periodic,,,20,2000,50,0.8065,0.8236,0.7894,-0.03420000000000001,4,0.2,2,2,456
